
-----------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |          Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level  |          Upper level          |Type|
            Wavelength |          Int. |    s^-1   |      |         (eV)         (eV)          |---------------|-------------------------------|    |
             Vac (nm)  |               |           |      |                                    | Conf.  | Term | Conf.            | Term       |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------
                       |               |           |      |                                    |        |      |                  |            |    |
           167.613     |               |           |      |    0.000000     -     7.39705      | 5s2    | 1S   | 4d.(2D<5/2>).10f | 2[3/2]*    |    |
           168.462     |             * |           |      |    0.000000     -     7.35976      | 5s2    | 1S   | 4d.(2D<5/2>).9f  | 2[3/2]*    |    |
           168.462     |             * |           |      |    0.000000     -     7.35976      | 5s2    | 1S   | 4d.(2D<3/2>).10f | 2[3/2]*    |    |
           168.809     |               |           |      |    0.000000     -     7.34464      | 5s2    | 1S   | 4d.(2D<5/2>).9f  | 2[1/2]*    |    |
           169.397     |               |           |      |    0.000000     -     7.31915      | 5s2    | 1S   | 4d.(2D<3/2>).9f  | 2[3/2]*    |    |
                       |               |           |      |                                    |        |      |                  |            |    |
           169.576     |               |           |      |    0.000000     -     7.31143      | 5s2    | 1S   | 4d.(2D<5/2>).8f  | 2[3/2]*    |    |
           169.703     |               |           |      |    0.000000     -     7.30595      | 5s2    | 1S   | 4d.(2D<5/2>).8f  | 2[1/2]*    |    |
           170.320     |               |           |      |    0.000000     -     7.27951      | 5s2    | 1S   | 4d.(2D<5/2>).10p | 2[3/2]*    |    |
           170.595     |               |           |      |    0.000000     -     7.26774      | 5s2    | 1S   | 4d.(2D<3/2>).8f  | 2[3/2]*    |    |
           171.058     |               |           |      |    0.000000     -     7.24809      | 5s2    | 1S   | 4d.(2D<3/2>).10p | 2[3/2]*    |    |
                       |               |           |      |                                    |        |      |                  |            |    |
           171.167     |               |           |      |    0.000000     -     7.24344      | 5s2    | 1S   | 4d.7f            | (5/2,7/2)* |    |
           171.244     |               |           |      |    0.000000     -     7.24021      | 5s2    | 1S   | 4d.(2D<3/2>).10p | 2[1/2]*    |    |
           171.565     |               |           |      |    0.000000     -     7.22667      | 5s2    | 1S   | 4d.7f            | (5/2,5/2)* |    |
           172.171     |               |           |      |    0.000000     -     7.20123      | 5s2    | 1S   | 4d.9p            | (5/2,3/2)* |    |
           172.350     |               |           |      |    0.000000     -     7.19375      | 5s2    | 1S   | 4d.7f            | (3/2,5/2)* |    |
                       |               |           |      |                                    |        |      |                  |            |    |
           173.181     |               |           |      |    0.000000     -     7.15924      | 5s2    | 1S   | 4d.9p            | (3/2,1/2)* |    |
           173.471     |               |           |      |    0.000000     -     7.14728      | 5s2    | 1S   | 4d.9p            | (3/2,3/2)* |    |
           173.703     |               |           |      |    0.000000     -     7.13771      | 5s2    | 1S   | 4d.6f            | (5/2,7/2)* |    |
           173.982     |               |           |      |    0.000000     -     7.12625      | 5s2    | 1S   | 4d.6f            | (5/2,5/2)* |    |
           174.717     |               |           |      |    0.000000     -     7.09630      | 5s2    | 1S   | 4d.6f            | (3/2,5/2)* |    |
                       |               |           |      |                                    |        |      |                  |            |    |
