
----------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |         Upper level          |Type|
           Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)         |------------------------------|------------------------------|    |
            Vac (nm)  |        |           |      |                                   | Conf.             | Term     | Conf.             | Term     |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                   |                   |          |                   |          |    |
           100.0327   |     36 |           |      |    22.343622    -     34.737961   | 4p5.(2P*<3/2>).4d | 2[3/2]*  | 4p5.(2P*<3/2>).4f | 2[3/2]   |    |
           100.1446   |      2 |           |      |    22.343622    -     34.724133   | 4p5.(2P*<3/2>).4d | 2[3/2]*  | 4p5.(2P*<3/2>).6p | 2[1/2]   |    |
           100.3905   |     18 |           |      |    22.343622    -     34.693779   | 4p5.(2P*<3/2>).4d | 2[3/2]*  | 4p5.(2P*<3/2>).4f | 2[3/2]   |    |
           101.1813   |     36 |           |      |    22.704409    -     34.958078   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[7/2]   |    |
           101.2520   |      4 |           |      |    22.704409    -     34.949457   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[7/2]   |    |
                      |        |           |      |                                   |                   |          |                   |          |    |
           101.6919   |     18 |           |      |    22.704409    -     34.896543   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).6p | 2[5/2]   |    |
           102.2522   |     24 |           |      |    22.704409    -     34.829728   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[5/2]   |    |
           102.3715   |     30 |           |      |    22.704409    -     34.815608   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[9/2]   |    |
           102.5233   |    100 |           |      |    22.704409    -     34.797690   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[9/2]   |    |
           103.2524   |     36 |           |      |    22.950202    -     34.958078   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[7/2]   |    |
                      |        |           |      |                                   |                   |          |                   |          |    |
           103.3265   |     36 |           |      |    22.950202    -     34.949457   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[7/2]   |    |
           103.7840   |      9 |           |      |    22.950202    -     34.896543   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).6p | 2[5/2]   |    |
           104.2459   |      9 |           |      |    22.950202    -     34.843613   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).6p | 2[5/2]   |    |
           104.3678   |      8 |           |      |    22.950202    -     34.829728   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[5/2]   |    |
           104.4920   |     35 |           |      |    22.950202    -     34.815608   | 4p5.(2P*<3/2>).4d | 2[7/2]*  | 4p5.(2P*<3/2>).4f | 2[9/2]   |    |
                      |        |           |      |                                   |                   |          |                   |          |    |
