
-----------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |       Lower level       |       Upper level       |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------|-------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.            | Term | Conf.            | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                  |      |                  |      |    |
            100.0567  |    10 |           |      |    26.505814    -     38.897181   | 4s2.4p3.(2D*).4d | 3D*  | 4s2.4p3.(4S*).5p | 5P   |    |
            100.2933  |    12 |           |      |    32.877982    -     45.240164   | 4s2.4p3.(2D*).4d | 3S*  | 4s2.4p3.(2P*).5p | 3P   |    |
            100.7198  |    14 |           |      |    27.344679    -     39.654452   | 4s2.4p3.(2D*).4d | 3F*  | 4s2.4p3.(4S*).5p | 3P   |    |
            101.1419  |    16 |           |      |    27.570159    -     39.828564   | 4s2.4p3.(2D*).4d | 3F*  | 4s2.4p3.(4S*).5p | 3P   |    |
            101.3711  |    20 |           |      |    33.009480    -     45.240164   | 4s2.4p3.(2P*).4d | 1F*  | 4s2.4p3.(2P*).5p | 3P   |    |
                      |       |           |      |                                   |                  |      |                  |      |    |
            101.5736  |    14 |           |      |    29.939637    -     42.145969   | 4s2.4p3.(2P*).4d | 1D*  | 4s2.4p3.(2D*).5p | 3D   |    |
            102.0001  |    16 |           |      |    26.793501    -     38.948789   | 4s2.4p3.(2D*).4d | 3D*  | 4s2.4p3.(4S*).5p | 5P   |    |
            102.0437  |    20 |           |      |    31.410209    -     43.560293   | 4s2.4p3.(2P*).4d | 3D*  | 4s2.4p3.(2D*).5p | 1D   |    |
            102.7408  | 18bl? |           |      |    30.749553    -     42.817224   | 4s2.4p3.(2P*).4d | 3P*  | 4s2.4p3.(2D*).5p | 3P   |    |
            103.0441  |    16 |           |      |    30.749553    -     42.781656   | 4s2.4p3.(2P*).4d | 3P*  | 4s2.4p3.(2D*).5p | 3P   |    |
                      |       |           |      |                                   |                  |      |                  |      |    |
            103.1343  |    20 |           |      |    30.795604    -     42.817224   | 4s2.4p3.(2P*).4d | 3D*  | 4s2.4p3.(2D*).5p | 3P   |    |
            103.3509  |     1 |           |      |    26.900750    -     38.897181   | 4s2.4p3.(2D*).4d | 3D*  | 4s2.4p3.(4S*).5p | 5P   |    |
            103.8991  |    18 |           |      |    33.009480    -     44.942630   | 4s2.4p3.(2P*).4d | 1F*  | 4s2.4p3.(2P*).5p | 1D   |    |
            104.1466  |     2 |           |      |    41.063347    -     52.968162   | 4s2.4p3.(2D*).5p | 3D   | 4s2.4p3.(2D*).6s | 1D*  |    |
            104.1936  |    20 |           |      |    29.939637    -     41.838999   | 4s2.4p3.(2P*).4d | 1D*  | 4s2.4p3.(2D*).5p | 1P   |    |
                      |       |           |      |                                   |                  |      |                  |      |    |
            105.0430  |     1 |           |      |    30.795604    -     42.598893   | 4s2.4p3.(2P*).4d | 3D*  | 4s2.4p3.(2D*).5p | 3P   |    |
            105.6108  |    12 |           |      |    31.077450    -     42.817224   | 4s2.4p3.(2P*).4d | 3F*  | 4s2.4p3.(2D*).5p | 3P   |    |
