
---------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |    Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |       Upper level       |Type|
          |          Wavelength |    Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|-------------------------|    |
          |           Vac (nm)  |         |           |      |                                | Conf.       | Term | Conf.          | Term   |    |
---------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           106.353   |      65 |           |      |                                |             |      |                |        |    |
Ta V      |           106.664   |     200 |           |      |                                |             |      |                |        |    |
Ta IV     |           106.717   |      68 |           |      |                                |             |      |                |        |    |
Ta IV     |           107.447   |      71 |           |      |                                |             |      |                |        |    |
Ta IV     |           108.639   |      71 |           |      |                                |             |      |                |        |    |
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           109.460   |      72 |           |      |                                |             |      |                |        |    |
Ta IV     |           110.013   |      68 |           |      |                                |             |      |                |        |    |
Ta IV     |           111.610   |      79 |           |      |                                |             |      |                |        |    |
Ta IV     |           111.883   |      71 |           |      |                                |             |      |                |        |    |
Ta IV     |           113.617   |      78 |           |      |                                |             |      |                |        |    |
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           113.826   |      66 |           |      |                                |             |      |                |        |    |
Ta V      |           114.049   |     200 |           |      |                                |             |      |                |        |    |
Ta IV     |           114.972   |      75 |           |      |                                |             |      |                |        |    |
Ta IV     |           115.042   |      75 |           |      |                                |             |      |                |        |    |
Ta IV     |           115.192   |      75 |           |      |                                |             |      |                |        |    |
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           117.251   |      76 |           |      |                                |             |      |                |        |    |
Ta IV     |           117.551   |      85 |           |      |                                |             |      |                |        |    |
Ta IV     |           118.928   |      80 |           |      |                                |             |      |                |        |    |
Ta IV     |           119.252   |      78 |           |      |                                |             |      |                |        |    |
Ta IV     |           119.267   |      80 |           |      |                                |             |      |                |        |    |
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           121.194   |      78 |           |      |                                |             |      |                |        |    |
Ta IV     |           121.268   |      80 |           |      |                                |             |      |                |        |    |
Ta IV     |           121.309   |      85 |           |      |                                |             |      |                |        |    |
Ta V      |           121.342   |     500 |           |      |                                |             |      |                |        |    |
Ta IV     |           121.466   |      70 |           |      |                                |             |      |                |        |    |
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           121.553   |      85 |           |      |                                |             |      |                |        |    |
Ta IV     |           122.073   |      80 |           |      |                                |             |      |                |        |    |
Ta IV     |           122.096   |      80 |           |      |                                |             |      |                |        |    |
Ta IV     |           122.373   |      90 |           |      |                                |             |      |                |        |    |
Ta IV     |           123.812   |      88 |           |      |                                |             |      |                |        |    |
          |                     |         |           |      |                                |             |      |                |        |    |
Ta IV     |           124.006   |      95 |           |      |                                |             |      |                |        |    |
Ta V      |           124.298   |     100 |           |      |                                |             |      |                |        |    |
Ta IV     |           125.834   |      87 |           |      |                                |             |      |                |        |    |
Ta IV     |           126.491   |      94 |           |      |                                |             |      |                |        |    |
Ta IV     |           127.242   |      98 |           |      |                                |             |      |                |        |    |
