
-----------------------------------------------------------------------------------------------------------------------------------
           Observed  |   Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level   |       Upper level       |Type|
          Wavelength |   Int. |    s^-1   |      |       (eV)         (eV)        |----------------|-------------------------|    |
           Air (nm)  |        |           |      |                                | Conf.   | Term | Conf.          | Term   |    |
-----------------------------------------------------------------------------------------------------------------------------------
                     |        |           |      |                                |         |      |                |        |    |
           227.985   |    200 |           |      |                                |         |      |                |        |    |
           235.730   |    250 |           |      |                                |         |      |                |        |    |
           236.109   |    260 |           |      |                                |         |      |                |        |    |
           237.158   |    320 |           |      |                                |         |      |                |        |    |
           237.591   |     70 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           238.573   |    130 |           |      |                                |         |      |                |        |    |
           239.630   |     70 |           |      |                                |         |      |                |        |    |
           239.915   |    110 |           |      |                                |         |      |                |        |    |
           240.655   |    130 |           |      |                                |         |      |                |        |    |
           241.432   |    120 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           242.103   |    140 |           |      |                                |         |      |                |        |    |
           242.764   |    360 |           |      |                                |         |      |                |        |    |
           243.707   |    110 |           |      |                                |         |      |                |        |    |
           243.991   |    200 |           |      |                                |         |      |                |        |    |
           244.239   |    130 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           244.717   |    100 |           |      |                                |         |      |                |        |    |
           245.448   |    100 |           |      |                                |         |      |                |        |    |
           245.868   |    100 |           |      |                                |         |      |                |        |    |
           246.055   |    100 |           |      |                                |         |      |                |        |    |
           247.138   |    120 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           247.213   |    120 |           |      |                                |         |      |                |        |    |
           247.313   |    150 |           |      |                                |         |      |                |        |    |
           247.462   |    600 |           |      |                                |         |      |                |        |    |
           247.533   |    120 |           |      |                                |         |      |                |        |    |
           247.822   |    150 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           248.210   |    100 |           |      |                                |         |      |                |        |    |
           248.495   |    500 |           |      |                                |         |      |                |        |    |
           248.670   |    120 |           |      |                                |         |      |                |        |    |
           249.046   |    500 |           |      |                                |         |      |                |        |    |
           250.445   |    600 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           250.745   |    600 |           |      |                                |         |      |                |        |    |
           251.265   |    240 |           |      |                                |         |      |                |        |    |
           252.635   | 1200bl |           |      |                                |         |      |                |        |    |
           254.680   |    240 |           |      |                                |         |      |                |        |    |
           255.107   |  460bl |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           255.505   |    240 |           |      |                                |         |      |                |        |    |
           255.943   |   1200 |           |      |   0.00000     -     4.842763   | 5d3.6s2 | a 4F |                | 390*   |    |
           256.210   |    460 |           |      |                                |         |      |                |        |    |
           257.354   |    430 |           |      |                                |         |      |                |        |    |
           257.379   |    390 |           |      |                                |         |      |                |        |    |
                     |        |           |      |                                |         |      |                |        |    |
           257.778   |    340 |           |      |                                |         |      |                |        |    |
           258.016   |    210 |           |      |                                |         |      |                |        |    |
