
-----------------------------------------------------------------------------------------------------------------------------
          Observed  |    Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |  Upper level  |Type|
         Wavelength |    Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|---------------|    |
          Air (nm)  |         |           |      |                                | Conf.       | Term | Conf.  | Term |    |
-----------------------------------------------------------------------------------------------------------------------------
                    |         |           |      |                                |             |      |        |      |    |
           214.013  |    1100 |           |      |                                |             |      |        |      |    |
           214.687  |    1500 |           |      |   0.127869    -     5.901154   | 5d3.(4F).6s | a 5F |        | 475* |    |
           215.062  |     740 |           |      |                                |             |      |        |      |    |
           216.501  |     600 |           |      |                                |             |      |        |      |    |
           217.803  |     740 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           218.271  |    1200 |           |      |                                |             |      |        |      |    |
           219.320  |     540 |           |      |                                |             |      |        |      |    |
           219.388  |    1100 |           |      |                                |             |      |        |      |    |
           219.603  |    1500 |           |      |   0.547477    -     6.191500   | 5d3.(4F).6s | a 5F |        | 499* |    |
           219.967  |    1500 |           |      |   0.00000     -     5.634698   | 5d3.(4F).6s | a 5F |        | 454* |    |
                    |         |           |      |                                |             |      |        |      |    |
           220.714  |     500 |           |      |                                |             |      |        |      |    |
           221.003  | 1400bl* |           |      |   0.00000     -     5.608282   | 5d3.(4F).6s | a 5F |        | 5D*  |    |
           221.019  | 1400bl* |           |      |   0.547477    -     6.155394   | 5d3.(4F).6s | a 5F |        | 496* |    |
           221.560  |     420 |           |      |                                |             |      |        |      |    |
           223.948  |   1400* |           |      |   0.547477    -     6.082067   | 5d3.(4F).6s | a 5F |        | 490* |    |
                    |         |           |      |                                |             |      |        |      |    |
           223.948  |   1400* |           |      |   0.327590    -     5.862087   | 5d3.(4F).6s | a 5F |        | 472* |    |
           224.848  |     240 |           |      |                                |             |      |        |      |    |
           224.979  |     480 |           |      |                                |             |      |        |      |    |
           225.076  |    1200 |           |      |                                |             |      |        |      |    |
           225.486  |     260 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           225.577  |     440 |           |      |                                |             |      |        |      |    |
           225.651  |     360 |           |      |                                |             |      |        |      |    |
           225.871  |     500 |           |      |                                |             |      |        |      |    |
           226.142  |     840 |           |      |                                |             |      |        |      |    |
           226.162  |     260 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           226.230  |     990 |           |      |                                |             |      |        |      |    |
           226.956  |     220 |           |      |                                |             |      |        |      |    |
           227.185  |     740 |           |      |                                |             |      |        |      |    |
           227.259  |     990 |           |      |                                |             |      |        |      |    |
           228.219  |     320 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           228.502  |     130 |           |      |                                |             |      |        |      |    |
           228.525  |     790 |           |      |                                |             |      |        |      |    |
           228.659  |     600 |           |      |                                |             |      |        |      |    |
           228.727  |     240 |           |      |                                |             |      |        |      |    |
           228.916  |     990 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           229.254  |     180 |           |      |                                |             |      |        |      |    |
           230.147  |     160 |           |      |                                |             |      |        |      |    |
