
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           106.353  |    65 |           |      |                     |    |
           106.717  |    68 |           |      |                     |    |
           107.447  |    71 |           |      |                     |    |
           108.639  |    71 |           |      |                     |    |
           109.460  |    72 |           |      |                     |    |
                    |       |           |      |                     |    |
           110.013  |    68 |           |      |                     |    |
           111.610  |    79 |           |      |                     |    |
           111.883  |    71 |           |      |                     |    |
           113.617  |    78 |           |      |                     |    |
           113.826  |    66 |           |      |                     |    |
                    |       |           |      |                     |    |
           114.972  |    75 |           |      |                     |    |
           115.042  |    75 |           |      |                     |    |
           115.192  |    75 |           |      |                     |    |
           117.251  |    76 |           |      |                     |    |
           117.551  |    85 |           |      |                     |    |
                    |       |           |      |                     |    |
           118.928  |    80 |           |      |                     |    |
           119.252  |    78 |           |      |                     |    |
           119.267  |    80 |           |      |                     |    |
           121.194  |    78 |           |      |                     |    |
           121.268  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           121.309  |    85 |           |      |                     |    |
           121.466  |    70 |           |      |                     |    |
           121.553  |    85 |           |      |                     |    |
           122.073  |    80 |           |      |                     |    |
           122.096  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.373  |    90 |           |      |                     |    |
           123.812  |    88 |           |      |                     |    |
           124.006  |    95 |           |      |                     |    |
           125.834  |    87 |           |      |                     |    |
           126.491  |    94 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.242  |    98 |           |      |                     |    |
           127.548  |    94 |           |      |                     |    |
           127.594  |    86 |           |      |                     |    |
           130.851  |    92 |           |      |                     |    |
           131.135  |    85 |           |      |                     |    |
                    |       |           |      |                     |    |
           131.558  |    87 |           |      |                     |    |
           132.519  |    81 |           |      |                     |    |
           133.238  |    92 |           |      |                     |    |
           134.330  |    86 |           |      |                     |    |
           135.046  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           136.588  |    92 |           |      |                     |    |
           137.662  |    79 |           |      |                     |    |
           138.880  |    78 |           |      |                     |    |
           139.878  |    91 |           |      |                     |    |
           141.340  |    93 |           |      |                     |    |
                    |       |           |      |                     |    |
           143.011  |    79 |           |      |                     |    |
           144.154  |    83 |           |      |                     |    |
           145.432  |    91 |           |      |                     |    |
           146.441  |    92 |           |      |                     |    |
           146.982  |    93 |           |      |                     |    |
                    |       |           |      |                     |    |
           149.525  |    90 |           |      |                     |    |
           151.419  |    95 |           |      |                     |    |
           152.569  |    70 |           |      |                     |    |
           156.597  |    82 |           |      |                     |    |
           158.464  |    82 |           |      |                     |    |
                    |       |           |      |                     |    |
           159.491  |    84 |           |      |                     |    |
           160.770  |    85 |           |      |                     |    |
           163.165  |    84 |           |      |                     |    |
           163.982  |    79 |           |      |                     |    |
           166.876  |    84 |           |      |                     |    |
                    |       |           |      |                     |    |
           167.645  |    84 |           |      |                     |    |
           171.216  |    85 |           |      |                     |    |
           171.613  |    85 |           |      |                     |    |
           175.390  |    82 |           |      |                     |    |
           175.904  |    82 |           |      |                     |    |
                    |       |           |      |                     |    |
           176.303  |    79 |           |      |                     |    |
           186.592  |    83 |           |      |                     |    |
           190.163  |    84 |           |      |                     |    |
           190.766  |    84 |           |      |                     |    |
           192.475  |    84 |           |      |                     |    |
                    |       |           |      |                     |    |
           194.025  |    77 |           |      |                     |    |
           198.568  |    79 |           |      |                     |    |
           198.944  |    82 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           205.575  |    85 |           |      |                     |    |
           207.901  |    83 |           |      |                     |    |
           211.153  |    75 |           |      |                     |    |
           219.958  |    90 |           |      |                     |    |
           220.764  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           269.742  |    68 |           |      |                     |    |
           307.606  |    10 |           |      |                     |    |
