
---------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level         |         Upper level         |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------|-----------------------------|    |
            Air (nm)  |          |           |      |                                   | Conf.               | Term | Conf.                | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                      |          |           |      |                                   |                     |      |                      |      |    |
            211.9406  |       15 |           |      |                                   |                     |      |                      |      |    |
            215.6272  |       30 |           |      |                                   |                     |      |                      |      |    |
            218.5394  |       30 |           |      |                                   |                     |      |                      |      |    |
            218.9055  |       30 |           |      |                                   |                     |      |                      |      |    |
            219.3347  |       40 |           |      |                                   |                     |      |                      |      |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            228.2121  |       10 |           |      |    0.00000      -     5.431159    | 4d5.5s2             | 6S   | 4d6.(3F2).5p         | 2F*  |    |
            228.2713  |       10 |           |      |    0.00000      -     5.429753    | 4d5.5s2             | 6S   | 4d5.(4D).5s.(5D).5p  | 6D*  |    |
            228.5451  |       50 |           |      |                                   |                     |      |                      |      |    |
            229.8080  |      100 |           |      |                                   |                     |      |                      |      |    |
            241.6217  |       30 |           |      |                                   |                     |      |                      |      |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            242.3228  |       50 |           |      |    0.458808     -     5.573819    | 4d6.(5D).5s         | 6D   |                      | 2*   |    |
            242.4538  |       20 |           |      |    0.318998     -     5.431159    | 4d6.(5D).5s         | 6D   | 4d6.(3F2).5p         | 2F*  |    |
            243.5829  |       20 |           |      |                                   |                     |      |                      |      |    |
            243.6994  |       10 |           |      |    0.458808     -     5.544855    | 4d6.(5D).5s         | 6D   | 4d6.(3P2).5p         | 4D*  |    |
            246.3694  |      80w |           |      |                                   |                     |      |                      |      |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            246.5086  |       20 |           |      |    0.403061     -     5.431159    | 4d6.(5D).5s         | 6D   | 4d6.(3F2).5p         | 2F*  |    |
            246.6873  |       30 |           |      |    0.318998     -     5.343442    | 4d6.(5D).5s         | 6D   | 4d6.(3D).5p          | 4F*  |    |
            247.5107  |       20 |           |      |    0.458808     -     5.466531    | 4d6.(5D).5s         | 6D   | 4d6.(3F2).5p         | 4F*  |    |
            248.0699  |       50 |           |      |    0.00000      -     4.996456    | 4d5.5s2             | 6S   | 4d5.(4G).5s.(5G).5p  | 4F*  |    |
            248.3224  |       50 |           |      |                                   |                     |      |                      |      |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            248.6496  |       20 |           |      |    0.458808     -     5.443617    | 4d6.(5D).5s         | 6D   | 4d6.(3H).5p          | 4H*  |    |
            249.2721  |      25* |           |      |    0.458808     -     5.431159    | 4d6.(5D).5s         | 6D   | 4d6.(3F2).5p         | 2F*  |    |
            249.2721  |      25* |           |      |    0.496255     -     5.468593    | 4d6.(5D).5s         | 6D   | 4d6.(3D).5p          | 4P*  |    |
            249.3432  |       20 |           |      |    0.458808     -     5.429753    | 4d6.(5D).5s         | 6D   | 4d5.(4D).5s.(5D).5p  | 6D*  |    |
