
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |     Rel. |    Aki    | Acc. |           Ei           Ek            |       Lower level       |       Upper level       |   Type|
          |               Wavelength |     Int. |    s^-1   |      |          (eV)         (eV)           |-------------------------|-------------------------|       |
          |                Vac (nm)  |          |           |      |                                      | Conf.            | Term | Conf.            | Term |       |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |          |           |      |                                      |                  |      |                  |      |       |
Te II     |              100.3760    |    89000 |           |      |     2.9795999    -     15.331570     | 5s2.5p3          | 2P*  | 5s.(2S).5p4.(1S) | 2S   |       |
Te II     |              100.7766    |   150000 |           |      |     0.000000     -     12.302912     | 5s2.5p3          | 4S*  | 5s2.5p2.(3P).5d  | 4P   |       |
Te II     |              101.4223    |   140000 |           |      |     1.2674142    -     13.49189      | 5s2.5p3          | 2D*  | 5s2.5p2.(1D).5d  | 2F   |       |
Te II     |              102.2713    |   140000 |           |      |     2.5474525    -     14.67049      | 5s2.5p3          | 2P*  | 5s2.5p2.(1S).5d  | 2D   |       |
Te II     |              102.3397    |   180000 |           |      |     1.5401135    -     13.65516      | 5s2.5p3          | 2D*  | 5s2.5p2.(1D).5d  | 2P   |       |
          |                          |          |           |      |                                      |                  |      |                  |      |       |
Te II     |              102.5782    |    91000 |           |      |     2.9795999    -     15.066426     | 5s2.5p3          | 2P*  | 5s2.5p2.(3P).6d  | 4D   |       |
Te II     |              103.4696    |   110000 |           |      |     2.5474525    -     14.530003     | 5s2.5p3          | 2P*  | 5s.(2S).5p4.(3P) | 2P   |       |
Te II     |              103.7370    |   100000 |           |      |     1.5401135    -     13.49189      | 5s2.5p3          | 2D*  | 5s2.5p2.(1D).5d  | 2F   |       |
Te II     |              105.0915    |    42000 |           |      |     2.5474525    -     14.345041     | 5s2.5p3          | 2P*  | 5s2.5p2.(3P).6d  | 2P   |       |
Te II     |              105.4185    |    84000 |           |      |     0.000000     -     11.761219     | 5s2.5p3          | 4S*  | 5s2.5p2.(1D).6s  | 2D   |       |
          |                          |          |           |      |                                      |                  |      |                  |      |       |
Te II     |              105.4602    |   150000 |           |      |     1.5401135    -     13.29661      | 5s2.5p3          | 2D*  | 5s2.5p2.(3P).5d  | 2F   |       |
Te II     |              105.700     |   150000 |           |      |                                      |                  |      |                  |      |       |
Te II     |              105.9447    | 340000bl |           |      |     2.9795999    -     14.68228      | 5s2.5p3          | 2P*  | 5s2.5p2.(1S).5d  | 2D   |       |
Te II     |              106.887     |   160000 |           |      |                                      |                  |      |                  |      |       |
Te II     |              107.2590    |   110000 |           |      |     2.9795999    -     14.538885     | 5s2.5p3          | 2P*  | 5s2.5p2.(3P).6d  | 4F   |       |
          |                          |          |           |      |                                      |                  |      |                  |      |       |
Te II     |              107.7663    |   180000 |           |      |     0.000000     -     11.504892     | 5s2.5p3          | 4S*  | 5s2.5p2.(3P).5d  | 4D   |       |
Te II     |              108.1295    |    90000 |           |      |     1.2674142    -     12.73361      | 5s2.5p3          | 2D*  | 5s2.5p2.(3P).5d  | 2D   |       |
Te II     |              109.011     |   490000 |           |      |                                      |                  |      |                  |      |       |
