
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek             |          Lower level           |           Upper level            |   Type|
          |                Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)            |--------------------------------|----------------------------------|       |
          |                 Vac (nm)  |        |           |      |                                         | Conf.                | Term    | Conf.                 | Term     |       |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti III    |               100.2371    |      1 | 7.6e+08   | D    |      4.736066      -      17.10501      | 3p6.3d.4s            | 3D      | 3p6.4s.4p             | 3P*      |       |
Ti III    |               100.4669    |      5 | 4.3e+09   | D    |      4.764215      -      17.10501      | 3p6.3d.4s            | 3D      | 3p6.4s.4p             | 3P*      |       |
Ti III    |               100.5797    |      1 | 1.3e+09   | D    |      4.719378      -      17.04631      | 3p6.3d.4s            | 3D      | 3p6.4s.4p             | 3P*      |       |
Ti III    |               100.7163    |      4 | 3.8e+09   | D    |      4.736066      -      17.04631      | 3p6.3d.4s            | 3D      | 3p6.4s.4p             | 3P*      |       |
Ti III    |               100.8119    |      2 | 5.1e+09   | D    |      4.719378      -      17.01793      | 3p6.3d.4s            | 3D      | 3p6.4s.4p             | 3P*      |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti V      |               103.9125    |      0 |           |      |     49.01354       -      60.94551      | 3s2.3p5.3d           | 1P*     | 3s.3p6.3d             | 3D       |       |
Ti III    |               107.7236    |      0 |           |      |      9.599408      -      21.108898     | 3p6.3d.4p            | 3D*     | 3p6.3d.6s             | 3D       |       |
Ti III    |               108.1204    |      0 |           |      |      9.599408      -      21.066416     | 3p6.3d.4p            | 3D*     | 3p6.3d.5d             | 3F       |       |
Ti III    |               108.2896    |        |           |      |      9.599408      -      21.048689     | 3p6.3d.4p            | 3D*     | 3p6.3d.5d             | 3F       |       |
Ti V      |               109.4583    |      3 |           |      |     60.50114       -      71.82833      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti V      |               109.4583    |      3 |           |      |     60.53227       -      71.85928      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  |       |
Ti V      |               109.7585    |      0 |           |      |     60.53227       -      71.82833      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  |       |
Ti III    |               110.4225    |      0 |           |      |      9.639330      -      20.867415     | 3p6.3d.4p            | 3F*     | 3p6.3d.5d             | 3G       |       |
Ti III    |               110.6646    |        |           |      |      9.690432      -      20.893881     | 3p6.3d.4p            | 3F*     | 3p6.3d.5d             | 3G       |       |
Ti V      |               111.3952    |      4 |           |      |     60.61943       -      71.74947      | 3s.3p6.3d            | 3D      | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
