
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |         Lower level          |           Upper level           |Type|
             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |------------------------------|---------------------------------|    |
              Air (nm)  |        |           |      |                                     | Conf.                | Term  | Conf.                | Term     |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |        |           |      |                                     |                      |       |                      |          |    |
            203.60291   |     00 |           |      |    0.000         -     6.0875573    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3D*      |    |
            203.68215   |      4 |           |      |    0.000         -     6.0851847    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3D*      |    |
            204.09868   |     00 |           |      |    0.02109378    -     6.0938639    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3D*      |    |
            204.31073   |      5 |           |      |    0.02109378    -     6.0875573    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3D*      |    |
            205.00592   |      5 |           |      |    0.0479663     -     6.0938639    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3D*      |    |
                        |        |           |      |                                     |                      |       |                      |          |    |
            205.67711   |      0 |           |      |    0.02109378    -     6.047253     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3F*      |    |
            205.93997   |      4 |           |      |    0.000         -     6.018479     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3G*      |    |
            206.05923   |      5 |           |      |    0.02109378    -     6.0360886    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3G*      |    |
            206.17054   |      6 |           |      |    0.0479663     -     6.059710     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3G*      |    |
            206.28734   |      4 |           |      |    0.000         -     6.008347     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3F*      |    |
                        |        |           |      |                                     |                      |       |                      |          |    |
            206.29143   |      4 |           |      |    0.02109378    -     6.029310     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3F*      |    |
            206.59877   |      7 |           |      |    0.0479663     -     6.047253     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3F*      |    |
            206.66438   |      4 |           |      |    0.02109378    -     6.018479     | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3G*      |    |
            206.98398   |      1 |           |      |    0.0479663     -     6.0360886    | 3d2.4s2              | a 3F  | 3d2.4s.(2F).5p       | 3G*      |    |
            207.21857   |     2* |           |      |    0.02109378    -     6.00243969   | 3d2.4s2              | a 3F  | 3d2.4s.(4F<9/2>).4f  | 2[7/2]*  |    |
                        |        |           |      |                                     |                      |       |                      |          |    |
            207.21857   |     2* |           |      |    0.000         -     5.98134352   | 3d2.4s2              | a 3F  | 3d2.4s.(4F<7/2>).4f  | 2[3/2]*  |    |
            211.38076   |     00 |           |      |    0.02109378    -     5.8846785    | 3d2.4s2              | a 3F  | 3d3.(2F).4p          | p 3F*    |    |
            211.85342   |      5 |           |      |    0.000         -     5.8505050    | 3d2.4s2              | a 3F  | 3d3.(2F).4p          | p 3F*    |    |
