
------------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |          Lower level          |          Upper level           |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------------|--------------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.               | Term    | Conf.               | Term     |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                     |         |                     |          |    |
            100.2371  |     1 | 7.6e+08   | D    |     4.736066    -     17.10501    | 3p6.3d.4s           | 3D      | 3p6.4s.4p           | 3P*      |    |
            100.4669  |     5 | 4.3e+09   | D    |     4.764215    -     17.10501    | 3p6.3d.4s           | 3D      | 3p6.4s.4p           | 3P*      |    |
            100.5797  |     1 | 1.3e+09   | D    |     4.719378    -     17.04631    | 3p6.3d.4s           | 3D      | 3p6.4s.4p           | 3P*      |    |
            100.7163  |     4 | 3.8e+09   | D    |     4.736066    -     17.04631    | 3p6.3d.4s           | 3D      | 3p6.4s.4p           | 3P*      |    |
            100.8119  |     2 | 5.1e+09   | D    |     4.719378    -     17.01793    | 3p6.3d.4s           | 3D      | 3p6.4s.4p           | 3P*      |    |
                      |       |           |      |                                   |                     |         |                     |          |    |
            107.7236  |     0 |           |      |     9.599408    -     21.108898   | 3p6.3d.4p           | 3D*     | 3p6.3d.6s           | 3D       |    |
            108.1204  |     0 |           |      |     9.599408    -     21.066416   | 3p6.3d.4p           | 3D*     | 3p6.3d.5d           | 3F       |    |
            108.2896  |       |           |      |     9.599408    -     21.048689   | 3p6.3d.4p           | 3D*     | 3p6.3d.5d           | 3F       |    |
            110.4225  |     0 |           |      |     9.639330    -     20.867415   | 3p6.3d.4p           | 3F*     | 3p6.3d.5d           | 3G       |    |
            110.6646  |       |           |      |     9.690432    -     20.893881   | 3p6.3d.4p           | 3F*     | 3p6.3d.5d           | 3G       |    |
                      |       |           |      |                                   |                     |         |                     |          |    |
            113.6041  |       |           |      |    10.305185    -     21.218894   | 3p6.3d.4p           | 1F*     | 3p6.3d.5d           | 1G       |    |
            123.5461  |     2 |           |      |     0.0000      -     10.035180   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3P*      |    |
            123.7028  |     0 |           |      |     0.02292     -     10.045754   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3P*      |    |
            128.2484  |     6 |           |      |     0.02292     -      9.690432   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3F*      |    |
            128.6228  |     6 |           |      |     0.0000      -      9.639330   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3F*      |    |
                      |       |           |      |                                   |                     |         |                     |          |    |
            128.6365  |    15 | 2.0e+08   | D    |     0.05212     -      9.690432   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3F*      |    |
            128.9299  |    10 | 2.2e+08   | D    |     0.02292     -      9.639330   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3F*      |    |
            129.1622  |    10 | 2.4e+08   | D    |     0.0000      -      9.599087   | 3p6.3d2             | 3F      | 3p6.3d.4p           | 3F*      |    |
