
-----------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |  Upper level   |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------|----------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.   | Term | Conf.   | Term |    |
-----------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |         |      |         |      |    |
            118.3635  |     8 | 6.9e+08   | D    |    15.860227    -     26.335153   | 3p6.4p  | 2P*  | 3p6.5s  | 2S   |    |
            119.5208  |    10 | 1.4e+09   | D    |    15.961674    -     26.335153   | 3p6.4p  | 2P*  | 3p6.5s  | 2S   |    |
            145.1736  |    18 | 1.8e+09   | D    |    15.860227    -     24.400619   | 3p6.4p  | 2P*  | 3p6.4d  | 2D   |    |
            146.7338  |    20 | 2.1e+09   | D    |    15.961674    -     24.411243   | 3p6.4p  | 2P*  | 3p6.4d  | 2D   |    |
            146.9188  |    12 | 3.5e+08   | D    |    15.961674    -     24.400619   | 3p6.4p  | 2P*  | 3p6.4d  | 2D   |    |
-----------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |  Upper level   |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------|----------------|    |
            Air (nm)  |       |           |      |                                   | Conf.   | Term | Conf.   | Term |    |
-----------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |         |      |         |      |    |
            206.7564  |    20 | 5.1e+08   | D    |     9.966955    -     15.961674   | 3p6.4s  | 2S   | 3p6.4p  | 2P*  |    |
            210.3106  |    18 | 5.0e+08   | D    |     9.966955    -     15.860227   | 3p6.4s  | 2S   | 3p6.4p  | 2P*  |    |
            235.9142  |    10 |           |      |    29.277043    -     34.530916   | 3p6.4f  | 2F*  | 3p6.5g  | 2G   |    |
            235.9499  |    10 |           |      |    29.277913    -     34.530990   | 3p6.4f  | 2F*  | 3p6.5g  | 2G   |    |
            254.1786  |     8 | 6.9e+08   | D    |    24.400619    -     29.277043   | 3p6.4d  | 2D   | 3p6.4f  | 2F*  |    |
                      |       |           |      |                                   |         |      |         |      |    |
            254.6880  |    10 | 7.4e+08   | D    |    24.411243    -     29.277913   | 3p6.4d  | 2D   | 3p6.4f  | 2F*  |    |
            254.7314  |     2 | 4.9e+07   | D    |    24.411243    -     29.277043   | 3p6.4d  | 2D   | 3p6.4f  | 2F*  |    |
            268.832   |     0 |           |      |    34.200669    -     38.81126    | 3p6.5f  | 2F*  | 3p6.7g  | 2G   |    |
            268.939   |     1 |           |      |    34.202520    -     38.81128    | 3p6.5f  | 2F*  | 3p6.7g  | 2G   |    |
            283.6972  |     3 | 2.0e+08   | D    |    28.591857    -     32.960878   | 3p6.5p  | 2P*  | 3p6.6s  | 2S   |    |
                      |       |           |      |                                   |         |      |         |      |    |
            286.2596  |     5 | 4.1e+08   | D    |    28.630973    -     32.960878   | 3p6.5p  | 2P*  | 3p6.6s  | 2S   |    |
            288.936   |     4 |           |      |    34.530990    -     38.820780   | 3p6.5g  | 2G   | 3p6.7h  | 2H*  |    |
