
----------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level    |           Upper level           |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-------------------|---------------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.      | Term | Conf.                 | Term    |    |
----------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |            |      |                       |         |    |
           103.9125  |     0 |           |      |    49.01354    -     60.94551   | 3s2.3p5.3d | 1P*  | 3s.3p6.3d             | 3D      |    |
           109.4583  |     3 |           |      |    60.53227    -     71.85928   | 3s2.3p5.4p | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
           109.4583  |     3 |           |      |    60.50114    -     71.82833   | 3s2.3p5.4p | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
           109.7585  |     0 |           |      |    60.53227    -     71.82833   | 3s2.3p5.4p | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
           111.3952  |     4 |           |      |    60.61943    -     71.74947   | 3s.3p6.3d  | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
                     |       |           |      |                                 |            |      |                       |         |    |
           112.3288  |     1 |           |      |    60.53227    -     71.56985   | 3s2.3p5.4p | 3D   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* |    |
           112.8546  |     7 |           |      |    59.75886    -     70.74511   | 3s2.3p5.4p | 3S   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* |    |
           113.2237  |     5 |           |      |    60.61943    -     71.56985   | 3s.3p6.3d  | 3D   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* |    |
           113.6050  |     1 |           |      |    60.94551    -     71.85928   | 3s.3p6.3d  | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
           113.9275  |     1 |           |      |    60.94551    -     71.82833   | 3s.3p6.3d  | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
                     |       |           |      |                                 |            |      |                       |         |    |
           114.5256  |     5 |           |      |    59.75886    -     70.58476   | 3s2.3p5.4p | 3S   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* |    |
           114.7571  |     0 |           |      |    60.94551    -     71.74947   | 3s.3p6.3d  | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
           115.2509  |       |           |      |    61.07053    -     71.82833   | 3s.3p6.3d  | 3D   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* |    |
           115.3274  |     5 |           |      |    59.75886    -     70.50962   | 3s2.3p5.4p | 3S   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* |    |
           115.3274  |     5 |           |      |    60.50114    -     71.25171   | 3s2.3p5.4p | 3D   | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]* |    |
                     |       |           |      |                                 |            |      |                       |         |    |
           116.3520  |     4 |           |      |    61.60659    -     72.26251   | 3s2.3p5.4p | 1P   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* |    |
