
----------------------------------------------------------------------------------------------------------------------
          Observed  |   Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |  Upper level  |Type|
         Wavelength |   Int. |    s^-1   |      |       (eV)         (eV)       |---------------|---------------|    |
          Vac (nm)  |        |           |      |                               | Conf.  | Term | Conf.  | Term |    |
----------------------------------------------------------------------------------------------------------------------
                    |        |           |      |                               |        |      |        |      |    |
           142.32   |      1 |           |      |                               |        |      |        |      |    |
           148.965  |     8r |           |      |                               |        |      |        |      |    |
           161.6    |     5w |           |      |                               |        |      |        |      |    |
           165.02   |      1 |           |      |                               |        |      |        |      |    |
           168.540  |      5 |           |      |                               |        |      |        |      |    |
                    |        |           |      |                               |        |      |        |      |    |
           172.8    |      1 |           |      |                               |        |      |        |      |    |
           184.7    |     3w |           |      |                               |        |      |        |      |    |
----------------------------------------------------------------------------------------------------------------------
          Observed  |   Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |  Upper level  |Type|
         Wavelength |   Int. |    s^-1   |      |       (eV)         (eV)       |---------------|---------------|    |
          Air (nm)  |        |           |      |                               | Conf.  | Term | Conf.  | Term |    |
----------------------------------------------------------------------------------------------------------------------
                    |        |           |      |                               |        |      |        |      |    |
           200.756  |   100r |           |      |                               |        |      |        |      |    |
           210.50   |        | 4.0e+06   |      |                               |        |      |        |      |    |
           211.91   |        | 2.0e+06   |      |                               |        |      |        |      |    |
           212.928  |     1r | 5.8e+06   |      |                               |        |      |        |      |    |
           215.192  |     1r | 3.1e+06   |      |                               |        |      |        |      |    |
                    |        |           |      |                               |        |      |        |      |    |
           216.859  |     4r | 9.8e+06   |      |                               |        |      |        |      |    |
           220.975  |      2 |           |      |                               |        |      |        |      |    |
           221.071  |   100r |           |      |                               |        |      |        |      |    |
           223.784  |     6r | 1.9e+07   |      |                               |        |      |        |      |    |
           228.76   |      3 |           |      |                               |        |      |        |      |    |
                    |        |           |      |                               |        |      |        |      |    |
           231.598  |    140 | 7.8e+06   |      |                               |        |      |        |      |    |
           237.969  |   900w | 4.4e+07   |      |    0.0000     -     5.20875   | 6s2.6p | 2P*  | 6s2.7d | 2D   |    |
           250.794  |     1r | 1.1e+06   |      |                               |        |      |        |      |    |
           250.82   |      1 |           |      |                               |        |      |        |      |    |
           253.818  |     2r | 1.6e+06   |      |                               |        |      |        |      |    |
                    |        |           |      |                               |        |      |        |      |    |
           258.014  |    700 | 1.8e+07   |      |    0.0000     -     4.80388   | 6s2.6p | 2P*  | 6s2.8s | 2S   |    |
           260.899  |     60 | 1.0e+07   |      |                               |        |      |        |      |    |
           260.977  |     4r | 1.9e+06   |      |                               |        |      |        |      |    |
           266.557  |     80 | 5.7e+06   |      |                               |        |      |        |      |    |
           270.923  |    420 | 1.7e+07   |      |                               |        |      |        |      |    |
                    |        |           |      |                               |        |      |        |      |    |
           271.067  |    50w | 3.7e+06   |      |                               |        |      |        |      |    |
           276.787  | 4400bl | 1.26e+08  |      |    0.0000     -     4.47805   | 6s2.6p | 2P*  | 6s2.6d | 2D   |    |
           282.616  |    280 | 8.0e+06   |      |                               |        |      |        |      |    |
