
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           102.869  |    30 |           |      |                     |    |
           103.473  |    20 |           |      |                     |    |
           103.661  |    20 |           |      |                     |    |
           104.948  |    10 |           |      |                     |    |
           105.756  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           106.804  |    20 |           |      |                     |    |
           107.047  |    20 |           |      |                     |    |
           107.968  |    30 |           |      |                     |    |
           107.970  |     5 |           |      |                     |    |
           109.290  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           109.441  |     4 |           |      |                     |    |
           109.960  |     6 |           |      |                     |    |
           112.552  |     4 |           |      |                     |    |
           113.930  |     5 |           |      |                     |    |
           114.407  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.545  |     3 |           |      |                     |    |
           127.303  |     6 |           |      |                     |    |
           130.455  |     3 |           |      |                     |    |
           132.366  |     6 |           |      |                     |    |
           133.710  |     7 |           |      |                     |    |
                    |       |           |      |                     |    |
           135.856  |     7 |           |      |                     |    |
           137.462  |     5 |           |      |                     |    |
           137.775  |     7 |           |      |                     |    |
           140.460  |     8 |           |      |                     |    |
           141.293  |     5 |           |      |                     |    |
                    |       |           |      |                     |    |
           143.472  |     6 |           |      |                     |    |
           144.937  |     5 |           |      |                     |    |
           188.32   |     5 |           |      |                     |    |
           197.46   |     3 |           |      |                     |    |
