
-------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |         Lower level          |          Upper level           |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------------------|--------------------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.                | Term  | Conf.                  | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |                      |       |                        |       |    |
          209.244   |  2100 |           |      |                                 |                      |       |                        |       |    |
          238.428   |    40 |           |      |                                 |                      |       |                        |       |    |
          238.696   |    60 |           |      |                                 |                      |       |                        |       |    |
          238.892   |    60 |           |      |                                 |                      |       |                        |       |    |
          239.087   |    75 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          239.126   |    75 |           |      |                                 |                      |       |                        |       |    |
          239.290   |    85 |           |      |                                 |                      |       |                        |       |    |
          239.778   |    70 |           |      |                                 |                      |       |                        |       |    |
          239.827   |    70 |           |      |                                 |                      |       |                        |       |    |
          239.996   |    70 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          240.675   |   120 |           |      |                                 |                      |       |                        |       |    |
          240.790   |   110 |           |      |                                 |                      |       |                        |       |    |
          241.533   |   120 |           |      |                                 |                      |       |                        |       |    |
          241.675   |   120 |           |      |                                 |                      |       |                        |       |    |
          242.012   |   100 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          242.106   |   100 |           |      |                                 |                      |       |                        |       |    |
          242.198   |   100 |           |      |                                 |                      |       |                        |       |    |
          242.828   |   110 |           |      |                                 |                      |       |                        |       |    |
          243.552   |   110 |           |      |                                 |                      |       |                        |       |    |
          250.161   |   140 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          250.690   |   150 |           |      |                                 |                      |       |                        |       |    |
          250.778   |   240 |           |      |                                 |                      |       |                        |       |    |
          251.165   |   180 |           |      |                                 |                      |       |                        |       |    |
          251.195   |   180 |           |      |                                 |                      |       |                        |       |    |
          251.714   |   180 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          251.962   |   240 |           |      |                                 |                      |       |                        |       |    |
          252.622   |   410 |           |      |                                 |                      |       |                        |       |    |
          253.018   |   240 |           |      |                                 |                      |       |                        |       |    |
          255.265   |   120 |           |      |                                 |                      |       |                        |       |    |
          256.213   |   210 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          256.482   |   110 |           |      |                                 |                      |       |                        |       |    |
          257.402   |   230 |           |      |                                 |                      |       |                        |       |    |
          264.526   |   150 |           |      |                                 |                      |       |                        |       |    |
          265.190   |   140 |           |      |                                 |                      |       |                        |       |    |
          265.622   |   150 |           |      |                                 |                      |       |                        |       |    |
                    |       |           |      |                                 |                      |       |                        |       |    |
          266.142   |   180 |           |      |                                 |                      |       |                        |       |    |
          269.699   |   120 |           |      |                                 |                      |       |                        |       |    |
          269.774   |   120 |           |      |                                 |                      |       |                        |       |    |
