
----------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |     Upper level     |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|---------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term | Conf.       | Term  |    |
----------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |             |      |             |       |    |
          238.400   |    40 |           |      |                                 |             |      |             |       |    |
          252.790   |   210 | 6.1e+07   | D    |    1.575374    -     6.478496   | 3d4         | a 3H | 3d3.(2H).4p | y 3H* |    |
          252.847   |   120 | 5.2e+07   | D    |    1.555399    -     6.457446   | 3d4         | a 3H | 3d3.(2H).4p | y 3H* |    |
          252.884   |   150 | 5.3e+07   | D    |    1.564873    -     6.466192   | 3d4         | a 3H | 3d3.(2H).4p | y 3H* |    |
          254.928   |   110 |           |      |                                 |             |      |             |       |    |
                    |       |           |      |                                 |             |      |             |       |    |
          263.067   |   140 |           |      |                                 |             |      |             |       |    |
          264.221   |   130 |           |      |                                 |             |      |             |       |    |
          267.200   |   290 | 2.3e+07   | C+   |    0.013220    -     4.651958   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          267.780   |   380 | 3.4e+07   | B    |    0.004470    -     4.633169   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          267.857   |   270 | 1.2e+07   | C+   |    0.025899    -     4.653261   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
                    |       |           |      |                                 |             |      |             |       |    |
          267.932   |   380 | 3.4e+07   | C+   |    0.025899    -     4.651958   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          268.287   |   180 | 2.0e+07   | B    |    0.013220    -     4.633169   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          268.309   |   180 | 3.4e+07   | B    |    0.00000     -     4.619575   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          268.796   |  1100 | 7.6e+07   | B    |    0.042057    -     4.653261   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          268.872   |   170 | 1.5e+07   | C+   |    0.042057    -     4.651958   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
                    |       |           |      |                                 |             |      |             |       |    |
          268.988   |   150 | 9.2e+07   | B    |    0.004470    -     4.612379   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          269.024   |   230 | 3.4e+07   | B    |    0.025899    -     4.633169   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          269.079   |   240 | 5.2e+07   | B    |    0.013220    -     4.619575   | 3d4         | a 5D | 3d3.(4F).4p | z 5D* |    |
          270.094   |   680 | 3.5e+07   | B    |    0.042057    -     4.631113   | 3d4         | a 5D | 3d3.(4F).4p | z 5F* |    |
          270.219   |   380 | 2.9e+07   | C    |    0.025899    -     4.612829   | 3d4         | a 5D | 3d3.(4F).4p | z 3D* |    |
                    |       |           |      |                                 |             |      |             |       |    |
          270.617   |   530 | 3.4e+07   | B    |    0.025899    -     4.606076   | 3d4         | a 5D | 3d3.(4F).4p | z 5F* |    |
