
--------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek          |   Lower level    |         Upper level          |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)         |------------------|------------------------------|    |
            Vac (nm)  |       |           |      |                                  | Conf.     | Term | Conf.               | Term   |    |
--------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                  |           |      |                     |        |    |
            107.1054  |    20 | 6.1e+08   | D    |    17.88758    -     29.46345    | 3p6.3d.4p | 1D*  | 3p6.3d.5s           | 1D     |    |
            108.6382  |     5 |           |      |    17.88758    -     29.30024    | 3p6.3d.4p | 1D*  | 3p6.3d.5s           | 3D     |    |
            109.6375  |     2 |           |      |    18.15492    -     29.46345    | 3p6.3d.4p | 3D*  | 3p6.3d.5s           | 1D     |    |
            111.0720  |     2 | 5.0e+08   | D    |    18.11629    -     29.27869    | 3p6.3d.4p | 3D*  | 3p6.3d.5s           | 3D     |    |
            111.2199  |     5 | 6.3e+08   | D    |    18.20771    -     29.35535    | 3p6.3d.4p | 3D*  | 3p6.3d.5s           | 3D     |    |
                      |       |           |      |                                  |           |      |                     |        |    |
            111.2436  |     5 | 5.0e+08   | D    |    18.15492    -     29.30024    | 3p6.3d.4p | 3D*  | 3p6.3d.5s           | 3D     |    |
            112.7836  |    20 | 8.9e+08   | D    |    18.30707    -     29.30024    | 3p6.3d.4p | 3F*  | 3p6.3d.5s           | 3D     |    |
            113.1255  |    20 | 9.4e+08   | D    |    18.39544    -     29.35535    | 3p6.3d.4p | 3F*  | 3p6.3d.5s           | 3D     |    |
            119.4462  |    20 | 1.0e+09   | D    |    19.08349    -     29.46345    | 3p6.3d.4p | 1F*  | 3p6.3d.5s           | 1D     |    |
            122.6523  |    60 | 1.5e+09   | D    |    17.88758    -     27.99614    | 3p6.3d.4p | 1D*  | 3p6.3d.4d           | 1D     |    |
                      |       |           |      |                                  |           |      |                     |        |    |
            124.2248  |     3 |           |      |    18.11629    -     28.09694    | 3p6.3d.4p | 3D*  | 3p6.3d.4d           | 3P     |    |
            124.3718  |    10 | 9.4e+08   | D    |    18.11629    -     28.08510    | 3p6.3d.4p | 3D*  | 3p6.3d.4d           | 3P     |    |
            124.4287  |     2 |           |      |    18.15492    -     28.11916    | 3p6.3d.4p | 3D*  | 3p6.3d.4d           | 3P     |    |
            124.7069  |    30 | 4.7e+08   | D    |    18.15492    -     28.09694    | 3p6.3d.4p | 3D*  | 3p6.3d.4d           | 3P     |    |
            125.0918  |    20 | 3.3e+08   | D    |    18.20771    -     28.11916    | 3p6.3d.4p | 3D*  | 3p6.3d.4d           | 3P     |    |
                      |       |           |      |                                  |           |      |                     |        |    |
            127.1153  |     2 |           |      |    18.24244    -     27.99614    | 3p6.3d.4p | 3F*  | 3p6.3d.4d           | 1D     |    |
            127.2972  |    30 | 2.7e+09   | D    |    19.28766    -     29.02740    | 3p6.3d.4p | 1P*  | 3p6.3d.4d           | 1S     |    |
            127.3529  |    10 |           |      |    17.88758    -     27.62301    | 3p6.3d.4p | 1D*  | 3p6.3d.4d           | 3F     |    |
