
-----------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                 |                |      |                |      |    |
           200.040    |     3 |           |      |                                 |                |      |                |      |    |
           200.097    |     3 |           |      |    0.412313    -     6.606488   | 5d4.6s2        | 5D   |                | *    |    |
           200.115    |     1 |           |      |    0.771099    -     6.964766   | 5d4.6s2        | 5D   |                | *    |    |
           200.247    |     5 |           |      |                                 |                |      |                |      |    |
           200.693    |     3 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           200.863    |     1 |           |      |    0.771099    -     6.941615   | 5d4.6s2        | 5D   |                | *    |    |
           200.891    |     3 |           |      |                                 |                |      |                |      |    |
           201.472    |     1 |           |      |    0.412313    -     6.564155   | 5d4.6s2        | 5D   |                | *    |    |
           201.640    |     3 |           |      |    0.771099    -     6.917758   | 5d4.6s2        | 5D   |                | *    |    |
           202.011    |     5 |           |      |    0.365913    -     6.501290   | 5d5.(6S).6s    | 7S   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           202.181    |     3 |           |      |    0.00000     -     6.130237   | 5d4.6s2        | 5D   |                | *    |    |
           202.204    |     2 |           |      |    0.598844    -     6.728594   | 5d4.6s2        | 5D   |                | *    |    |
           202.387    |     5 |           |      |                                 |                |      |                |      |    |
           203.019    |     2 |           |      |                                 |                |      |                |      |    |
           203.036    |     2 |           |      |    0.771099    -     6.875587   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           203.477    |     4 |           |      |    0.598844    -     6.690098   | 5d4.6s2        | 5D   |                | *    |    |
           203.546    |     2 |           |      |    0.365913    -     6.455123   | 5d5.(6S).6s    | 7S   |                | *    |    |
           203.692    |     3 |           |      |                                 |                |      |                |      |    |
           203.938    |     3 |           |      |    0.598844    -     6.676379   | 5d4.6s2        | 5D   |                | *    |    |
           204.416    |     1 |           |      |    0.365913    -     6.429337   | 5d5.(6S).6s    | 7S   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           204.574    |     3 |           |      |                                 |                |      |                |      |    |
           204.748    |    3* |           |      |    0.207090    -     6.260525   | 5d4.6s2        | 5D   |                | *    |    |
           204.748    |    3* |           |      |    0.771099    -     6.824504   | 5d4.6s2        | 5D   |                | *    |    |
           204.903    |     3 |           |      |    0.00000     -     6.048948   | 5d4.6s2        | 5D   |                | *    |    |
           205.104    |     3 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           205.194    |     3 |           |      |                                 |                |      |                |      |    |
           205.3514   |     3 |           |      |    0.771099    -     6.806844   | 5d4.6s2        | 5D   |                | *    |    |
           205.8616   |    10 |           |      |    0.598844    -     6.619568   | 5d4.6s2        | 5D   |                | *    |    |
           206.053    |     3 |           |      |    0.598844    -     6.614001   | 5d4.6s2        | 5D   |                | *    |    |
