
--------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek          |     Lower level     |        Upper level         |Type|
             Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)         |---------------------|----------------------------|    |
              Vac (nm)  |         |           |      |                                   | Conf.        | Term | Conf.               | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------
                        |         |           |      |                                   |              |      |                     |      |    |
            152.7933    |      15 |           |      |    0.3933365    -     8.5077941   | 5d4.(5D).6s  | 6D   |                     |      |    |
            156.3433    |       5 |           |      |    0.1883108    -     8.1186104   | 5d4.(5D).6s  | 6D   | 5d3.(4P).6s.(5P).6p | 6S*  |    |
            157.6282    |       7 |           |      |    0.7621414    -     8.6277862   | 5d4.(5D).6s  | 6D   |                     |      |    |
            158.8007    |       5 |           |      |    0.3933365    -     8.2008720   | 5d4.(5D).6s  | 6D   |                     |      |    |
            162.0109    |     9bl |           |      |    0.3933365    -     8.0461185   | 5d4.(5D).6s  | 6D   |                     |      |    |
                        |         |           |      |                                   |              |      |                     |      |    |
            163.1028    |       3 |           |      |    0.5847439    -     8.1862799   | 5d4.(5D).6s  | 6D   |                     |      |    |
            163.6164    |      5? |           |      |    0.000000     -     7.5776240   | 5d4.(5D).6s  | 6D   |                     |      |    |
            164.0902    |       5 |           |      |    0.9199951    -     8.4758473   | 5d5          | 6S   |                     |      |    |
            165.8530    |       5 |           |      |    1.6628684    -     9.1383746   | 5d3.6s2      | 4F   |                     |      |    |
            167.1778    |    5bl* |           |      |    0.3933365    -     7.8097196   | 5d4.(5D).6s  | 6D   |                     |      |    |
                        |         |           |      |                                   |              |      |                     |      |    |
            167.1778    |    5bl* |           |      |    0.000000     -     7.4162862   | 5d4.(5D).6s  | 6D   |                     |      |    |
            168.0773    |       3 |           |      |    0.7621414    -     8.1388144   | 5d4.(5D).6s  | 6D   |                     |      |    |
            169.0737    |       9 |           |      |    1.6628684    -     8.9960321   | 5d3.6s2      | 4F   |                     |      |    |
            169.2842    |    15bl |           |      |    0.5847439    -     7.9087337   | 5d4.(5D).6s  | 6D   |                     |      |    |
            170.7683    |    15bl |           |      |    1.8779857    -     9.1383746   | 5d4.(3H).6s  | 4H   |                     |      |    |
                        |         |           |      |                                   |              |      |                     |      |    |
            171.0562    |       5 |           |      |    1.8557638    -     9.1038539   |              |      |                     |      |    |
            171.5860    |      9* |           |      |    1.8779857    -     9.1038539   | 5d4.(3H).6s  | 4H   |                     |      |    |
            171.5860    |      9* |           |      |    1.4011483    -     8.6268616   | 5d3.6s2      | 4F   |                     |      |    |
            171.7513    |       5 |           |      |    0.9199951    -     8.1388144   | 5d5          | 6S   |                     |      |    |
            171.7930    |     9bl |           |      |    0.7621414    -     7.9792197   | 5d4.(5D).6s  | 6D   |                     |      |    |
                        |         |           |      |                                   |              |      |                     |      |    |
            171.8788    |      11 |           |      |    1.4011483    -     8.6146340   | 5d3.6s2      | 4F   |                     |      |    |
            172.6391    |       7 |           |      |    0.1883108    -     7.3699987   | 5d4.(5D).6s  | 6D   |                     |      |    |
            172.8578    |      11 |           |      |    1.3133007    -     8.4859474   |              |      |                     |      |    |
