
-----------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek          |     Lower level     |         Upper level         |Type|
           Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)         |---------------------|-----------------------------|    |
            Vac (nm)  |        |           |      |                                  | Conf.        | Term | Conf.                | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                  |              |      |                      |      |    |
            104.2282  |      1 |           |      |    2.461318    -     14.356867   | 5d4          | 3G   |                      |      |    |
            104.8678  |      1 |           |      |    3.782419    -     15.605358   | 5d3.(2G).6s  | 3G   | 5d2.(3P).6s.6p.(1P*) | 3D*  |    |
            105.5883  |      1 |           |      |    3.296559    -     15.038859   | 5d4          | 1G2  | 5d2.(1G).6s.6p.(1P*) | 1G*  |    |
            107.0461  |      1 |           |      |    2.891039    -     14.473344   | 5d4          | 3G   |                      |      |    |
            110.7468  |      1 |           |      |    1.734804    -     12.930046   | 5d4          | 3F2  |                      |      |    |
                      |        |           |      |                                  |              |      |                      |      |    |
            110.8812  |      1 |           |      |    2.434064    -     13.615742   | 5d3.(4F).6s  | 5F   |                      |      |    |
            110.9051  |      1 |           |      |    2.566054    -     13.745318   | 5d4          | 3D   |                      |      |    |
            111.4046  |      1 |           |      |    2.861657    -     13.990878   | 5d3.(4P).6s  | 5P   |                      |      |    |
            111.6809  |      1 |           |      |    0.953027    -     12.054687   | 5d4          | 5D   | 5d3.(2F).6p          | 3G*  |    |
            111.8585  |     2* |           |      |    2.753947    -     13.837980   | 5d4          | 3D   |                      |      |    |
                      |        |           |      |                                  |              |      |                      |      |    |
            111.8585  |     2* |           |      |    4.521368    -     15.605358   |              |      | 5d2.(3P).6s.6p.(1P*) | 3D*  |    |
            112.0067  |      1 |           |      |    1.734804    -     12.804151   | 5d4          | 3F2  |                      |      |    |
            112.0565  |     10 |           |      |    3.036445    -     14.100835   |              |      |                      |      |    |
            112.1367  |      1 |           |      |    1.597044    -     12.653595   | 5d4          | 3P2  |                      |      |    |
            112.1777  |     1* |           |      |    2.566054    -     13.618564   | 5d4          | 3D   |                      |      |    |
                      |        |           |      |                                  |              |      |                      |      |    |
            112.1777  |     1* |           |      |    0.778349    -     11.830820   | 5d4          | 5D   | 5d2.(3F).6s.6p.(3P*) | 5D*  |    |
            112.4950  |      1 |           |      |    2.278383    -     13.299681   | 5d4          | 3F2  |                      |      |    |
            113.1934  |      1 |           |      |    3.520046    -     14.473344   | 5d3.(4F).6s  | 3F   |                      |      |    |
            113.3406  |      1 |           |      |    3.520046    -     14.459079   | 5d3.(4F).6s  | 3F   |                      |      |    |
            113.4979  |      1 |           |      |    2.846061    -     13.770064   | 5d3.(4P).6s  | 5P   |                      |      |    |
                      |        |           |      |                                  |              |      |                      |      |    |
            113.7938  |      1 |           |      |    2.891039    -     13.786565   | 5d4          | 3G   | 5d3.(2D1).6p         | 3F*  |    |
            114.0862  |      1 |           |      |    2.154895    -     13.022470   | 5d3.(4F).6s  | 5F   |                      |      |    |
            114.1175  |      2 |           |      |    2.753947    -     13.618564   | 5d4          | 3D   |                      |      |    |
