
--------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level  |         Upper level          |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |---------------|------------------------------|    |
           Vac (nm)  |       |           |      |                                | Conf.  | Term | Conf.           | Term       |    |
--------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                |        |      |                 |            |    |
           104.1140  |  82bl |           |      |    2.80395    -     14.71231   | 5d2    | 3P   | 5d.(2D<3/2>).6p | (3/2,1/2)* |    |
           105.7090  |    62 |           |      |    5.34497    -     17.07378   | 5d2    | 1S   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
           110.3201  |    83 |           |      |    7.25484    -     18.49349   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           112.5300  |    82 |           |      |    7.47569    -     18.49349   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           116.4466  |    67 |           |      |    7.25484    -     17.90207   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
                     |       |           |      |                                |        |      |                 |            |    |
           116.9964  |    55 |           |      |    7.47569    -     18.07292   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           118.9151  |    84 |           |      |    7.47569    -     17.90207   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           123.8574  |    73 |           |      |    7.25484    -     17.26506   | 5d.6s  | 3D   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
           126.2358  |  46bl |           |      |    5.34497    -     15.16647   | 5d2    | 1S   | 5d.(2D<3/2>).6p | (3/2,1/2)* |    |
           126.2707  |    76 |           |      |    7.25484    -     17.07378   | 5d.6s  | 3D   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
                     |       |           |      |                                |        |      |                 |            |    |
           126.4066  |    75 |           |      |    8.26450    -     18.07292   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           128.6456  |    75 |           |      |    8.26450    -     17.90207   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           129.1759  |    73 |           |      |    7.47569    -     17.07378   | 5d.6s  | 3D   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
           130.5611  |    76 |           |      |    7.47569    -     16.97192   | 5d.6s  | 3D   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
           131.1465  |    76 |           |      |    8.26450    -     17.71832   | 5d.6s  | 3D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
                     |       |           |      |                                |        |      |                 |            |    |
           131.2319  |    75 |           |      |    9.04573    -     18.49349   | 5d.6s  | 1D   | 5d.(2D<5/2>).6p | (5/2,3/2)* |    |
           133.4841  |    75 |           |      |    7.25484    -     16.54321   | 5d.6s  | 3D   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
           136.7341  |    74 |           |      |    7.47569    -     16.54321   | 5d.6s  | 3D   | 5d.(2D<3/2>).6p | (3/2,3/2)* |    |
