
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |             Lower level             |            Upper level             |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-------------------------------------|------------------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.                  | Term       | Conf.                  | Term      |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                        |            |                        |           |    |
           100.7742  |  2000 |           |      |    54.20441    -     66.50761   | 4f13.(2F*<7/2>).5p6.6s | (7/2,1/2)* | 4f13.(2F*<7/2>).5p6.6p | (7/2,3/2) |    |
           100.9883  |  1000 |           |      |    56.35904    -     68.63616   | 4f13.(2F*<5/2>).5p6.6s | (5/2,1/2)* | 4f13.(2F*<5/2>).5p6.6p | (5/2,3/2) |    |
           101.6603  |  1000 |           |      |    56.44016    -     68.63616   | 4f13.(2F*<5/2>).5p6.6s | (5/2,1/2)* | 4f13.(2F*<5/2>).5p6.6p | (5/2,3/2) |    |
           101.9322  |  1000 |           |      |    56.35904    -     68.52244   | 4f13.(2F*<5/2>).5p6.6s | (5/2,1/2)* | 4f13.(2F*<5/2>).5p6.6p | (5/2,3/2) |    |
           102.4069  |   500 |           |      |    54.20441    -     66.31145   | 4f13.(2F*<7/2>).5p6.6s | (7/2,1/2)* | 4f13.(2F*<7/2>).5p6.6p | (7/2,3/2) |    |
                     |       |           |      |                                 |                        |            |                        |           |    |
           102.6169  |   200 |           |      |    56.44016    -     68.52244   | 4f13.(2F*<5/2>).5p6.6s | (5/2,1/2)* | 4f13.(2F*<5/2>).5p6.6p | (5/2,3/2) |    |
           103.2078  |  1000 |           |      |    55.38980    -     67.40290   | 4f14.5p5.(2P*<3/2>).6s | (3/2,1/2)* | 4f14.5p5.(2P*<3/2>).6p | (3/2,3/2) |    |
           103.2935  |  2000 |           |      |    54.30830    -     66.31145   | 4f13.(2F*<7/2>).5p6.6s | (7/2,1/2)* | 4f13.(2F*<7/2>).5p6.6p | (7/2,3/2) |    |
           103.6219  |  3000 |           |      |    54.20441    -     66.16953   | 4f13.(2F*<7/2>).5p6.6s | (7/2,1/2)* | 4f13.(2F*<7/2>).5p6.6p | (7/2,3/2) |    |
           103.6662  |  1000 |           |      |    56.44016    -     68.40013   | 4f13.(2F*<5/2>).5p6.6s | (5/2,1/2)* | 4f13.(2F*<5/2>).5p6.6p | (5/2,3/2) |    |
                     |       |           |      |                                 |                        |            |                        |           |    |
           103.7327  |  2000 |           |      |    54.30830    -     66.26060   | 4f13.(2F*<7/2>).5p6.6s | (7/2,1/2)* | 4f13.(2F*<7/2>).5p6.6p | (7/2,3/2) |    |
           104.2877  |  2000 |           |      |    54.95442    -     66.84316   | 4f14.5p5.(2P*<3/2>).6s | (3/2,1/2)* | 4f14.5p5.(2P*<3/2>).6p | (3/2,3/2) |    |
           104.5306  |    20 |           |      |    54.95442    -     66.81542   | 4f14.5p5.(2P*<3/2>).6s | (3/2,1/2)* | 4f14.5p5.(2P*<3/2>).6p | (3/2,3/2) |    |
