
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |     Rel. |    Aki    | Acc. |            Ei           Ek            |         Lower level         |         Upper level          |Type|
          |               Wavelength |     Int. |    s^-1   |      |           (eV)         (eV)           |-----------------------------|------------------------------|    |
          |                Vac (nm)  |          |           |      |                                       | Conf.             | Term    | Conf.              | Term    |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe III    |              100.2087    |        6 |           |      |    12.840820      -     25.213414     | 5s.5p5            | 3P*     | 5s2.5p3.(2P*).4f   | 3D      |    |
Xe V      |              100.248     |       10 |           |      |    16.70101       -     29.06879      | 5s.5p3            | 3P*     | 5s2.5p.(2P*).6p    | 3P      |    |
Xe IV     |              100.267     |       11 |           |      |    12.35674       -     24.72208      | 5s.5p4            | 4P      | 5s2.5p2.(3P).4f    | 2D*     |    |
Xe IV     |              100.3380    |       95 |           |      |     0.0000        -     12.35674      | 5s2.5p3           | 4S*     | 5s.5p4             | 4P      |    |
Xe IV     |              100.6731    |        6 |           |      |     4.41999       -     16.73546      | 5s2.5p3           | 2P*     | 5s2.5p2.(3P).5d    | 4F      |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe IV     |              100.868     |        6 |           |      |    13.25679       -     25.54833      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 2P*     |    |
Xe IV     |              100.943     |        6 |           |      |    16.92333       -     29.20580      | 5s2.5p2.(3P).5d   | 4F      | 5s2.5p2.(1S).6p    | 2P*     |    |
Xe IV     |              100.986     |        2 |           |      |    15.55688       -     27.83423      | 5s.5p4            | 2D      | 5s2.5p2.(1D).6p    | 2P*     |    |
Xe VI     |              101.11      |        * |           |      |    46.7337        -     58.9963       | 5s2.5g            | 2G      | 5s2.8h             | 2H*     |    |
Xe VI     |              101.11      |        * |           |      |    46.7337        -     58.9963       | 5s2.5g            | 2G      | 5s2.8h             | 2H*     |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe III    |              101.4825    |       12 |           |      |     1.214346      -     13.431674     | 5s2.5p4           | 3P      | 5s.5p5             | 3P*     |    |
Xe III    |              101.6188    |        2 |           |      |    13.942010      -     26.142996     | 5s2.5p3.(4S*).5d  | 5D*     | 5p6                | 1S      |    |
Xe VII    |              101.619     |       10 |           |      |    50.5610        -     62.7645       | 5s.6p             | 1P*     | 5s.7s              | 3S      |    |
Xe VI     |              101.7270    |       10 |           |      |    17.58557       -     29.77356      | 5s.5p2            | 2P      | 5p3                | 240140* |    |
Xe III    |              101.7682    |       13 |           |      |     0.00000       -     12.182993     | 5s2.5p4           | 3P      | 5s.5p5             | 3P*     |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe IV     |              101.881     |        9 |           |      |    15.11726       -     27.28664      | 5s.5p4            | 2D      | 5s2.5p2.(1D).6p    | 2P*     |    |
Xe I      |              102.5777    |        a |           |      |     0.000000      -     12.0868656    | 5p6               | 1S      | 5p5.(2P*<3/2>).20d | 2[3/2]* |    |
