
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek            |         Lower level         |         Upper level          |Type|
               Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)           |-----------------------------|------------------------------|    |
                Vac (nm)  |          |           |      |                                     | Conf.             | Term    | Conf.              | Term    |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |          |           |      |                                     |                   |         |                    |         |    |
              102.5777    |        a |           |      |    0.000000     -     12.0868656    | 5p6               | 1S      | 5p5.(2P*<3/2>).20d | 2[3/2]* |    |
              102.5906    |        a |           |      |    0.000000     -     12.0853383    | 5p6               | 1S      | 5p5.(2P*<3/2>).20d | 2[1/2]* |    |
              102.6223    |        a |           |      |    0.000000     -     12.0816019    | 5p6               | 1S      | 5p5.(2P*<3/2>).19d | 2[3/2]* |    |
              102.6378    |        a |           |      |    0.000000     -     12.0797777    | 5p6               | 1S      | 5p5.(2P*<3/2>).19d | 2[1/2]* |    |
              102.6637    |        a |           |      |    0.000000     -     12.0767493    | 5p6               | 1S      | 5p5.(2P*<3/2>).20s | 2[3/2]* |    |
                          |          |           |      |                                     |                   |         |                    |         |    |
              102.6758    |        a |           |      |    0.000000     -     12.0753098    | 5p6               | 1S      | 5p5.(2P*<3/2>).18d | 2[3/2]* |    |
              102.6946    |        a |           |      |    0.000000     -     12.0731065    | 5p6               | 1S      | 5p5.(2P*<3/2>).18d | 2[1/2]* |    |
              102.7260    |        a |           |      |    0.000000     -     12.0694341    | 5p6               | 1S      | 5p5.(2P*<3/2>).19s | 2[3/2]* |    |
              102.7405    |        a |           |      |    0.000000     -     12.0677036    | 5p6               | 1S      | 5p5.(2P*<3/2>).17d | 2[3/2]* |    |
              102.7635    |        a |           |      |    0.000000     -     12.06500      | 5p6               | 1S      | 5p5.(2P*<3/2>).17d | 2[1/2]* |    |
                          |          |           |      |                                     |                   |         |                    |         |    |
              102.8020    |        a |           |      |    0.000000     -     12.0604938    | 5p6               | 1S      | 5p5.(2P*<3/2>).18s | 2[3/2]* |    |
              102.8198    |        a |           |      |    0.000000     -     12.0583912    | 5p6               | 1S      | 5p5.(2P*<3/2>).16d | 2[3/2]* |    |
              102.8484    |        a |           |      |    0.000000     -     12.05505      | 5p6               | 1S      | 5p5.(2P*<3/2>).16d | 2[1/2]* |    |
              102.8966    |        a |           |      |    0.000000     -     12.0494187    | 5p6               | 1S      | 5p5.(2P*<3/2>).17s | 2[3/2]* |    |
              102.9186    |        a |           |      |    0.000000     -     12.0468224    | 5p6               | 1S      | 5p5.(2P*<3/2>).15d | 2[3/2]* |    |
                          |          |           |      |                                     |                   |         |                    |         |    |
              102.9546    |        a |           |      |    0.000000     -     12.0425972    | 5p6               | 1S      | 5p5.(2P*<3/2>).15d | 2[1/2]* |    |
              103.0159    |        a |           |      |    0.000000     -     12.0354587    | 5p6               | 1S      | 5p5.(2P*<3/2>).16s | 2[3/2]* |    |
              103.0435    |        a |           |      |    0.000000     -     12.03222      | 5p6               | 1S      | 5p5.(2P*<3/2>).14d | 2[3/2]* |    |
