
---------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level       |      Upper level       |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------|------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.          | Term  | Conf.          | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                |       |                |       |    |
            102.7050  |     5 |           |      |     1.306423    -     13.378452   | 5p5            | 2P*   | 5p4.(3P<1>).5d | 2[1]  |    |
            103.2438  |     3 |           |      |     0.00000     -     12.008883   | 5p5            | 2P*   | 5p4.(3P<2>).5d | 2[1]  |    |
            103.2596  |     5 |           |      |     1.306423    -     13.313638   | 5p5            | 2P*   | 5p4.(3P<0>).5d | 2[2]  |    |
            103.7680  |     6 |           |      |     1.306423    -     13.254669   | 5p5            | 2P*   | 5p4.(3P<1>).6s | 2[1]  |    |
            104.1306  |    10 |           |      |     0.00000     -     11.906634   | 5p5            | 2P*   | 5p4.(3P<2>).5d | 2[2]  |    |
                      |       |           |      |                                   |                |       |                |       |    |
            104.8120  |    2c |           |      |     1.306423    -     13.135821   | 5p5            | 2P*   | 5p4.(3P<2>).5d | 2[0]  |    |
            104.8272  |     8 |           |      |     0.00000     -     11.827688   | 5p5            | 2P*   | 5p4.(3P<2>).5d | 2[2]  |    |
            105.1920  |    10 |           |      |     0.00000     -     11.786480   | 5p5            | 2P*   | 5p4.(3P<2>).6s | 2[2]  |    |
            106.7088  |     6 |           |      |     1.306423    -     12.925360   | 5p5            | 2P*   | 5p4.(3P<1>).5d | 2[1]  |    |
            107.4476  |    12 |           |      |     0.00000     -     11.539015   | 5p5            | 2P*   | 5p4.(3P<2>).6s | 2[2]  |    |
                      |       |           |      |                                   |                |       |                |       |    |
            108.3860  |     5 |           |      |     1.306423    -     12.745460   | 5p5            | 2P*   | 5p4.(3P<1>).6s | 2[1]  |    |
            110.0432  |    10 |           |      |     0.00000     -     11.266918   | 5p5            | 2P*   | 5s.5p6         | 2S    |    |
            110.3515  |     0 |           |      |     1.306423    -     12.541929   | 5p5            | 2P*   | 5p4.(3P<0>).6s | 2[0]  |    |
            115.8474  |     5 |           |      |     1.306423    -     12.008883   | 5p5            | 2P*   | 5p4.(3P<2>).5d | 2[1]  |    |
            116.9633  |     2 |           |      |     1.306423    -     11.906634   | 5p5            | 2P*   | 5p4.(3P<2>).5d | 2[2]  |    |
                      |       |           |      |                                   |                |       |                |       |    |
            118.3053  |     8 |           |      |     1.306423    -     11.786480   | 5p5            | 2P*   | 5p4.(3P<2>).6s | 2[2]  |    |
            124.4756  |     5 |           |      |     1.306423    -     11.266918   | 5p5            | 2P*   | 5s.5p6         | 2S    |    |
            188.1485  |     0 |           |      |    11.832762    -     18.422302   | 5p4.(3P<2>).5d | 2[3]  | 5p4.(3P<1>).4f | 2[4]* |    |
            197.2673  |     0 |           |      |    12.324647    -     18.609637   | 5p4.(3P<2>).5d | 2[4]  | 5p4.(3P<2>).5f | 2[5]* |    |
---------------------------------------------------------------------------------------------------------------------------------------------
