
--------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |       Lower level       |       Upper level       |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------|-------------------------|    |
            Vac (nm)  |          |           |      |                                   | Conf.            | Term | Conf.            | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------
                      |          |           |      |                                   |                  |      |                  |      |    |
            100.2087  |        6 |           |      |    12.840820    -     25.213414   | 5s.5p5           | 3P*  | 5s2.5p3.(2P*).4f | 3D   |    |
            101.4825  |       12 |           |      |     1.214346    -     13.431674   | 5s2.5p4          | 3P   | 5s.5p5           | 3P*  |    |
            101.6188  |        2 |           |      |    13.942010    -     26.142996   | 5s2.5p3.(4S*).5d | 5D*  | 5p6              | 1S   |    |
            101.7682  |       13 |           |      |     0.00000     -     12.182993   | 5s2.5p4          | 3P   | 5s.5p5           | 3P*  |    |
            104.7799  |       15 |           |      |     1.008001    -     12.840820   | 5s2.5p4          | 3P   | 5s.5p5           | 3P*  |    |
                      |          |           |      |                                   |                  |      |                  |      |    |
            104.8755  |       11 |           |      |     2.119972    -     13.942010   | 5s2.5p4          | 1D   | 5s2.5p3.(4S*).5d | 5D*  |    |
            105.5326  |       11 |           |      |     2.119972    -     13.868423   | 5s2.5p4          | 1D   | 5s2.5p3.(4S*).5d | 5D*  |    |
            105.8136  |        9 |           |      |     2.119972    -     13.837307   | 5s2.5p4          | 1D   | 5s2.5p3.(4S*).5d | 5D*  |    |
            106.0529  |        1 |           |      |    12.840820    -     24.531560   | 5s.5p5           | 3P*  | 5s2.5p3.(4S*).5f | 5F   |    |
            106.6393  |       18 |           |      |     1.214346    -     12.840820   | 5s2.5p4          | 3P   | 5s.5p5           | 3P*  |    |
                      |          |           |      |                                   |                  |      |                  |      |    |
            107.7844  |        1 |           |      |    13.837307    -     25.340245   | 5s2.5p3.(4S*).5d | 5D*  | 5s2.5p3.(2P*).4f | 3D   |    |
            108.8954  |       20 |           |      |    14.757346    -     26.142996   | 5s2.5p3.(2D*).5d | 1P*  | 5p6              | 1S   |    |
            109.2168  |       10 |           |      |    12.182993    -     23.535184   | 5s.5p5           | 3P*  | 5s2.5p3.(2D*).4f | 1D   |    |
            110.9257  |       10 |           |      |    12.182993    -     23.360179   | 5s.5p5           | 3P*  | 5s2.5p3.(2D*).4f | 3P   |    |
            112.011   |        1 |           |      |    13.431674    -     24.500640   | 5s.5p5           | 3P*  | 5s2.5p3.(4S*).5f | 5F   |    |
                      |          |           |      |                                   |                  |      |                  |      |    |
            112.4428  |        7 |           |      |    15.116494    -     26.142996   | 5s2.5p3.(4S*).5d | 3D*  | 5p6              | 1S   |    |
            112.7018  |        2 |           |      |    12.182993    -     23.184106   | 5s.5p5           | 3P*  | 5s2.5p3.(2D*).4f | 3D   |    |
            113.0348  |       12 |           |      |     1.214346    -     12.182993   | 5s2.5p4          | 3P   | 5s.5p5           | 3P*  |    |
            113.1838  |        0 |           |      |    12.182993    -     23.137218   | 5s.5p5           | 3P*  | 5s2.5p3.(2D*).4f | 3F   |    |
