
------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------------|------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.           | Term | Conf.           | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                 |      |                 |      |    |
           100.267   |    11 |           |      |    12.35674    -     24.72208   | 5s.5p4          | 4P   | 5s2.5p2.(3P).4f | 2D*  |    |
           100.3380  |    95 |           |      |     0.0000     -     12.35674   | 5s2.5p3         | 4S*  | 5s.5p4          | 4P   |    |
           100.6731  |     6 |           |      |     4.41999    -     16.73546   | 5s2.5p3         | 2P*  | 5s2.5p2.(3P).5d | 4F   |    |
           100.868   |     6 |           |      |    13.25679    -     25.54833   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 2P*  |    |
           100.943   |     6 |           |      |    16.92333    -     29.20580   | 5s2.5p2.(3P).5d | 4F   | 5s2.5p2.(1S).6p | 2P*  |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           100.986   |     2 |           |      |    15.55688    -     27.83423   | 5s.5p4          | 2D   | 5s2.5p2.(1D).6p | 2P*  |    |
           101.881   |     9 |           |      |    15.11726    -     27.28664   | 5s.5p4          | 2D   | 5s2.5p2.(1D).6p | 2P*  |    |
           102.6945  |     6 |           |      |     4.41999    -     16.49329   | 5s2.5p3         | 2P*  | 5s2.5p2.(3P).5d | 2P   |    |
           102.863   |    12 |           |      |    13.25679    -     25.31013   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 4P*  |    |
           103.028   |    10 |           |      |    12.35674    -     24.39078   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 2D*  |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           103.299   |     2 |           |      |    13.54582    -     25.54833   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 2P*  |    |
           103.454   |     5 |           |      |    12.35674    -     24.34122   | 5s.5p4          | 4P   | 5s2.5p2.(3P).4f | 4F*  |    |
           104.1813  |     9 |           |      |     1.64490    -     13.54582   | 5s2.5p3         | 2D*  | 5s.5p4          | 4P   |    |
           106.144   |     6 |           |      |    15.11726    -     26.79807   | 5s.5p4          | 2D   | 5s2.5p2.(1D).6p | 2D*  |    |
           106.265   |     6 |           |      |    13.25679    -     24.92424   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 4S*  |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           106.411   |     6 |           |      |    13.25679    -     24.90835   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 4P*  |    |
           106.5056  |    20 |           |      |     3.47607    -     15.11726   | 5s2.5p3         | 2P*  | 5s.5p4          | 2D   |    |
           106.7695  |    25 |           |      |     1.64490    -     13.25679   | 5s2.5p3         | 2D*  | 5s.5p4          | 4P   |    |
           106.881   |     5 |           |      |    13.25679    -     24.85712   | 5s.5p4          | 4P   | 5s2.5p2.(3P).6p | 2D*  |    |
