
------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------------|------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.           | Term | Conf.           | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                 |      |                 |      |    |
           100.248   |    10 |           |      |    16.70101    -     29.06879   | 5s.5p3          | 3P*  | 5s2.5p.(2P*).6p | 3P   |    |
           102.660   |     9 |           |      |    18.07776    -     30.15500   | 5s.5p3          | 1D*  | 5s2.5p.(2P*).6p | 1P   |    |
           105.647   |     3 |           |      |    16.54050    -     28.27644   | 5s.5p3          | 3P*  | 5s2.5p.(2P*).6p | 3D   |    |
           105.934   |     6 |           |      |    14.86806    -     26.57201   | 5s.5p3          | 3D*  | 5s2.5p.(2P*).4f | 1G   |    |
           106.326   |     4 |           |      |    19.40437    -     31.06513   | 5s2.5p.(2P*).5d | 3F*  | 5s2.5p.(2P*).6p | 1D   |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           106.355   |     7 |           |      |    14.29368    -     25.95122   | 5s.5p3          | 3D*  | 5s2.5p.(2P*).4f | 3D   |    |
           107.110   |     8 |           |      |    16.70101    -     28.27644   | 5s.5p3          | 3P*  | 5s2.5p.(2P*).6p | 3D   |    |
           107.281   |     6 |           |      |    14.39419    -     25.95122   | 5s.5p3          | 3D*  | 5s2.5p.(2P*).4f | 3D   |    |
           108.353   |     3 |           |      |    19.28179    -     30.72457   | 5s.5p3          | 3S*  | 5s2.5p.(2P*).6p | 3S   |    |
           108.601   |     4 |           |      |    14.29368    -     25.71019   | 5s.5p3          | 3D*  | 5s2.5p.(2P*).4f | 3D   |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           109.2801  |    70 |           |      |     3.52254    -     14.86806   | 5s2.5p2         | 1D   | 5s.5p3          | 3D*  |    |
           109.565   |     8 |           |      |    14.39419    -     25.71019   | 5s.5p3          | 3D*  | 5s2.5p.(2P*).4f | 3D   |    |
           110.9829  |    15 |           |      |     5.51363    -     16.68520   | 5s2.5p2         | 1S   | 5s.5p3          | 3P*  |    |
           111.149   |     5 |           |      |    21.03672    -     32.19154   | 5s.5p3          | 1P*  | 5s2.5p.(2P*).6p | 1S   |    |
           111.482   |     3 |           |      |    19.40437    -     30.52590   | 5s2.5p.(2P*).5d | 3F*  | 5s2.5p.(2P*).6p | 3D   |    |
                     |       |           |      |                                 |                 |      |                 |      |    |
           111.528   |     1 |           |      |    14.39419    -     25.51084   | 5s.5p3          | 3D*  | 5s2.5p.(2P*).4f | 3D   |    |
           111.892   |     6 |           |      |    18.07776    -     29.15847   | 5s.5p3          | 1D*  | 5s2.5p.(2P*).6p | 3D   |    |
           111.977   |     4 |           |      |    19.28179    -     30.35397   | 5s.5p3          | 3S*  | 5s2.5p.(2P*).6p | 3P   |    |
           112.806   |     3 |           |      |    18.07776    -     29.06879   | 5s.5p3          | 1D*  | 5s2.5p.(2P*).6p | 3P   |    |
