
----------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |    Upper level     |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|--------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.    | Term    | Conf.    | Term    |    |
----------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |          |         |          |         |    |
           101.11    |     * |           |      |    46.7337     -     58.9963    | 5s2.5g   | 2G      | 5s2.8h   | 2H*     |    |
           101.11    |     * |           |      |    46.7337     -     58.9963    | 5s2.5g   | 2G      | 5s2.8h   | 2H*     |    |
           101.7270  |    10 |           |      |    17.58557    -     29.77356   | 5s.5p2   | 2P      | 5p3      | 240140* |    |
           108.0080  |    50 |           |      |     0.0000     -     11.4792    | 5s2.5p   | 2P*     | 5s.5p2   | 4P      |    |
           109.1634  |    62 |           |      |     1.93403    -     13.2917    | 5s2.5p   | 2P*     | 5s.5p2   | 4P      |    |
                     |       |           |      |                                 |          |         |          |         |    |
           110.1947  |     8 |           |      |    17.58557    -     28.83693   | 5s.5p2   | 2P      | 5p3      | 232586* |    |
           113.6412  |    14 |           |      |    22.60331    -     33.51363   | 5s2.5d   | 2D      | 5s2.6p   | 2P*     |    |
           116.586   |     4 |           |      |    41.9625     -     52.5978    | 5s2.6d   | 2D      | 5s2.8p   | 2P*     |    |
           117.7419  |    25 |           |      |    22.60331    -     33.13341   | 5s2.5d   | 2D      | 5s.5p.5d | 267239* |    |
           117.9541  |    30 |           |      |     1.93403    -     12.4453    | 5s2.5p   | 2P*     | 5s.5p2   | 4P      |    |
                     |       |           |      |                                 |          |         |          |         |    |
           118.1465  |    25 |           |      |    22.34810    -     32.84230   | 5s2.5d   | 2D      | 5s2.6p   | 2P*     |    |
           122.04    |       |           |      |    33.51363    -     43.6734    | 5s2.6p   | 2P*     | 5s2.7s   | 2S      |    |
           125.14    |     * |           |      |    46.7337     -     56.6430    | 5s2.5g   | 2G      | 5s2.7h   | 2H*     |    |
           125.14    |     * |           |      |    46.7337     -     56.6430    | 5s2.5g   | 2G      | 5s2.7h   | 2H*     |    |
           128.05    |       |           |      |    13.2917     -     22.9750    | 5s.5p2   | 4P      | 5s2.4f   | 2F*     |    |
                     |       |           |      |                                 |          |         |          |         |    |
           128.55    |       |           |      |    13.2917     -     22.9363    | 5s.5p2   | 4P      | 5s2.4f   | 2F*     |    |
           129.8912  |    25 |           |      |     1.93403    -     11.4792    | 5s2.5p   | 2P*     | 5s.5p2   | 4P      |    |
           134.069   |     5 |           |      |    19.58896    -     28.83693   | 5s.5p2   | 2S      | 5p3      | 232586* |    |
           135.98    |       |           |      |    32.84230    -     41.9625    | 5s2.6p   | 2P*     | 5s2.6d   | 2D      |    |
           136.105   |     4 |           |      |    19.72737    -     28.83693   | 5s.5p2   | 2P      | 5p3      | 232586* |    |
                     |       |           |      |                                 |          |         |          |         |    |
           143.92    |       |           |      |    33.51363    -     42.1261    | 5s2.6p   | 2P*     | 5s2.6d   | 2D      |    |
           147.74    |       |           |      |    46.556      -     54.9436    | 5s2.7p   | 2P*     | 5s2.8d   | 2D      |    |
