
-----------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek        |  Lower level  |  Upper level  |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)       |---------------|---------------|    |
           Vac (nm)  |       |           |      |                                | Conf.  | Term | Conf.  | Term |    |
-----------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                |        |      |        |      |    |
           101.619   |    10 |           |      |    50.5610     -     62.7645   | 5s.6p  | 1P*  | 5s.7s  | 3S   |    |
           107.7120  |    84 |           |      |    17.7619     -     29.2727   | 5s.5p  | 1P*  | 5p2    | 1D   |    |
           109.44    |       |           |      |    17.7619     -     29.0972   | 5s.5p  | 1P*  | 5p2    | 3P   |    |
           123.157   |    20 |           |      |    50.6806     -     60.7469   | 4f.5p  | 3D   | 5p.6s  | 1P*  |    |
           124.358   |     7 |           |      |    17.7619     -     27.7319   | 5s.5p  | 1P*  | 5p2    | 3P   |    |
                     |       |           |      |                                |        |      |        |      |    |
           132.48    |       |           |      |    49.7689     -     59.116    | 5p.5d  | 3F*  | 5s.6d  | 3D   |    |
           132.71    |     * |           |      |    49.7044     -     59.0438   | 5s.6p  | 3P*  | 5s.6d  | 3D   |    |
           132.71    |     * |           |      |    49.6763?    -     59.0152   | 5s.6p  | 3P*  | 5s.6d  | 3D   |    |
           133.163   |     6 |           |      |    49.7044     -     59.0152   | 5s.6p  | 3P*  | 5s.6d  | 3D   |    |
           146.095   |     2 |           |      |    50.6286     -     59.116    | 5s.6p  | 3P*  | 5s.6d  | 3D   |    |
                     |       |           |      |                                |        |      |        |      |    |
           147.325   |     4 |           |      |    50.6286     -     59.0438   | 5s.6p  | 3P*  | 5s.6d  | 3D   |    |
           190.23    |       |           |      |    59.116      -     65.6298   | 5s.6d  | 3D   | 5s.7p  | 3P*  |    |
           194.96    |       |           |      |    59.0438     -     65.402    | 5s.6d  | 3D   | 5s.7p  | 3P*  |    |
           195.779   |     7 |           |      |    59.0152     -     65.3483   | 5s.6d  | 3D   | 5s.7p  | 3P*  |    |
-----------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek        |  Lower level  |  Upper level  |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)       |---------------|---------------|    |
           Air (nm)  |       |           |      |                                | Conf.  | Term | Conf.  | Term |    |
-----------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                |        |      |        |      |    |
           217.05    |       |           |      |    43.9937     -     49.7044   | 5s.6s  | 3S   | 5s.6p  | 3P*  |    |
           231.49    |       |           |      |    29.2727     -     34.6266   | 5p2    | 1D   | 4f.5s  | 1F*  |    |
           353.75    |       |           |      |    34.6266     -     38.1303   | 4f.5s  | 1F*  | 5s.5d  | 1D   |    |
           364.52    |       |           |      |    31.2258     -     34.6266   | 5p2    | 3P   | 4f.5s  | 1F*  |    |
           432.78    |       |           |      |    62.7645     -     65.6298   | 5s.7s  | 3S   | 5s.7p  | 3P*  |    |
                     |       |           |      |                                |        |      |        |      |    |
           470.20    |       |           |      |    62.7645     -     65.402    | 5s.7s  | 3S   | 5s.7p  | 3P*  |    |
