
--------------------------------------------------------------------------------------------------------------------
         Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek        |  Lower level  |  Upper level  |Type|
        Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)       |---------------|---------------|    |
         Vac (nm)  |       |           |      |                               | Conf.  | Term | Conf.  | Term |    |
--------------------------------------------------------------------------------------------------------------------
                   |       |           |      |                               |        |      |        |      |    |
           108.72  |       |           |      |    78.7740    -     90.1865   | 7d     | 2D   | 8f     | 2F*  |    |
           112.41  |     * |           |      |    70.7042    -     81.7339   | 5g     | 2G   | 6h     | 2H*  |    |
           112.41  |     * |           |      |    70.7042    -     81.7339   | 5g     | 2G   | 6h     | 2H*  |    |
           112.41  |     * |           |      |    65.3924    -     76.4199   | 6d     | 2D   | 6f     | 2F*  |    |
           116.67  |     * |           |      |    81.7339    -     92.3624   | 6h     | 2H*  | 8i     | 2I   |    |
                   |       |           |      |                               |        |      |        |      |    |
           116.67  |     * |           |      |    81.7339    -     92.3624   | 6h     | 2H*  | 8i     | 2I   |    |
           119.00  |       |           |      |    54.9719    -     65.3924   | 6p     | 2P*  | 6d     | 2D   |    |
           120.03  |       |           |      |    78.6797    -     89.0007   | 7d     | 2D   | 9p     | 2P*  |    |
           125.10  |     * |           |      |    76.4620    -     86.3771   | 6f     | 2F*  | 8d     | 2D   |    |
           125.10  |     * |           |      |    76.4199    -     86.3307   | 6f     | 2F*  | 8d     | 2D   |    |
                   |       |           |      |                               |        |      |        |      |    |
           128.17  |       |           |      |    55.8887    -     65.5621   | 6p     | 2P*  | 6d     | 2D   |    |
           130.46  |       |           |      |    55.8887    -     65.3924   | 6p     | 2P*  | 6d     | 2D   |    |
           136.31  |     * |           |      |    88.1695    -     97.2668   | 7h     | 2H*  | 10i    | 2I   |    |
           136.31  |     * |           |      |    88.1695    -     97.2668   | 7h     | 2H*  | 10i    | 2I   |    |
           136.54  |     * |           |      |    88.1947    -     97.2691   | 7i     | 2I   | 10k    | 2K*  |    |
                   |       |           |      |                               |        |      |        |      |    |
           136.54  |     * |           |      |    88.1947    -     97.2691   | 7i     | 2I   | 10k    | 2K*  |    |
           137.59  |       |           |      |    61.6919    -     70.7042   | 5f     | 2F*  | 5g     | 2G   |    |
           138.41  |       |           |      |    61.7464    -     70.7042   | 5f     | 2F*  | 5g     | 2G   |    |
           141.88  |       |           |      |    81.4441    -     90.1865   | 6g     | 2G   | 8f     | 2F*  |    |
           150.72  |       |           |      |    65.3924    -     73.6195   | 6d     | 2D   | 7p     | 2P*  |    |
                   |       |           |      |                               |        |      |        |      |    |
           153.54  |     * |           |      |    83.0630    -     91.1371   | 8p     | 2P*  | 9d     | 2D   |    |
           153.54  |     * |           |      |    73.1292    -     81.2106   | 7p     | 2P*  | 8s     | 2S   |    |
           153.86  |       |           |      |    65.5621    -     73.6195   | 6d     | 2D   | 7p     | 2P*  |    |
           158.00  |       |           |      |    83.3406    -     91.1916   | 8p     | 2P*  | 9d     | 2D   |    |
           159.18  |       |           |      |    81.2106    -     89.0007   | 8s     | 2S   | 9p     | 2P*  |    |
                   |       |           |      |                               |        |      |        |      |    |
