
----------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |            Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                      |       |           |      |                     |    |
Y III     |           100.056    |   150 |           |      |                     |    |
Y III     |           100.335    |    25 |           |      |                     |    |
Y III     |           100.658    |  1000 |           |      |                     |    |
Y III     |           100.786    |  1200 |           |      |                     |    |
Y III     |           107.752    |   120 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           108.135    |   500 |           |      |                     |    |
Y III     |           108.463    |   75p |           |      |                     |    |
Y III     |           108.839    |  350p |           |      |                     |    |
Y III     |           109.525    |   250 |           |      |                     |    |
Y III     |           109.587    |    25 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           110.321    |   150 |           |      |                     |    |
Y III     |           128.974    |  3000 |           |      |                     |    |
Y III     |           130.696    |  2500 |           |      |                     |    |
Y III     |           131.451    |  5000 |           |      |                     |    |
Y III     |           131.610    |  1500 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           133.404    |  4000 |           |      |                     |    |
Y III     |           154.908    |     8 |           |      |                     |    |
Y III     |           155.381    |   15p |           |      |                     |    |
Y III     |           163.514    |    30 |           |      |                     |    |
Y III     |           164.043    |    75 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           177.980    |   200 |           |      |                     |    |
Y III     |           178.605    |   600 |           |      |                     |    |
----------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |            Air (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                      |       |           |      |                     |    |
Y III     |           204.193    |    10 |           |      |                     |    |
Y III     |           204.207    |     5 |           |      |                     |    |
Y III     |           206.058    |  1500 |           |      |                     |    |
Y III     |           206.898    |  4000 |           |      |                     |    |
Y III     |           212.798    | 10000 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           219.116    | 16000 |           |      |                     |    |
Y III     |           220.076    |  8000 |           |      |                     |    |
Y III     |           220.603    |  8000 |           |      |                     |    |
Y II      |           224.306    |   350 |           |      |                     |    |
Y III     |           226.141    |   150 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           226.157    |    80 |           |      |                     |    |
Y III     |           228.434    | 10000 |           |      |                     |    |
Y III     |           231.992    |     3 |           |      |                     |    |
Y III     |           232.731    | 10000 |           |      |                     |    |
Y I       |           235.4171   |     4 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           236.723    | 50000 |           |      |                     |    |
Y II      |           241.393    |    25 |           |      |                     |    |
Y III     |           241.464    | 40000 |           |      |                     |    |
Y II      |           242.220    |   560 |           |      |                     |    |
Y II      |           246.061    |    60 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           249.0403   |     5 |           |      |                     |    |
Y I       |           268.1664   |    10 |           |      |                     |    |
Y I       |           269.4200   |    20 |           |      |                     |    |
Y I       |           269.5381   |    15 |           |      |                     |    |
Y III     |           271.030    |  100p |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           271.054    |   90w |           |      |                     |    |
Y I       |           272.2992   |    25 |           |      |                     |    |
Y I       |           273.00873  |     6 |           |      |                     |    |
Y II      |           273.485    |    22 |           |      |                     |    |
Y I       |           274.25018  |    40 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           276.0073   |    40 |           |      |                     |    |
Y III     |           278.011    |     5 |           |      |                     |    |
Y II      |           278.521    |    30 |           |      |                     |    |
Y II      |           278.559    |    12 |           |      |                     |    |
Y I       |           279.1194   |    10 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           279.144    |    70 |           |      |                     |    |
Y II      |           280.011    |    30 |           |      |                     |    |
Y III     |           280.327    |    20 |           |      |                     |    |
Y III     |           280.700    |   100 |           |      |                     |    |
Y I       |           281.3657   |    40 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           281.704    | 90000 |           |      |                     |    |
Y I       |           281.8850   |     1 |           |      |                     |    |
Y I       |           282.25655  |     2 |           |      |                     |    |
Y II      |           282.537    |    22 |           |      |                     |    |
Y II      |           282.638    |    45 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           285.443    |    70 |           |      |                     |    |
Y II      |           285.630    |    26 |           |      |                     |    |
Y II      |           285.787    |    11 |           |      |                     |    |
Y III     |           286.767    |  6000 |           |      |                     |    |
Y I       |           288.64547  |    10 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           289.769    |    18 |           |      |                     |    |
Y II      |           289.882    |    14 |           |      |                     |    |
Y III     |           291.341    |  6000 |           |      |                     |    |
Y III     |           291.774    |  1500 |           |      |                     |    |
Y III     |           291.856    |  1600 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           291.9049   |    50 |           |      |                     |    |
Y II      |           293.003    |   18w |           |      |                     |    |
Y III     |           294.053    |    15 |           |      |                     |    |
Y III     |           294.601    | 99000 |           |      |                     |    |
Y I       |           294.8406   |    50 | 3.5e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           294.848    |   20p |           |      |                     |    |
Y I       |           296.4964   |    50 |           |      |                     |    |
Y III     |           297.042    |  6000 |           |      |                     |    |
Y II      |           297.391    |    18 |           |      |                     |    |
Y I       |           297.4588   |    50 | 3.5e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           298.055    |    30 |           |      |                     |    |
Y I       |           298.4254   |   150 | 4.8e+07   |      |                     |    |
Y I       |           299.52574  |    70 | 5.1e+06   |      |                     |    |
Y I       |           299.6939   |   125 | 8.4e+06   |      |                     |    |
Y I       |           300.52618  |    70 | 4.8e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           301.393    |  1400 |           |      |                     |    |
Y III     |           301.885    |  1500 |           |      |                     |    |
Y I       |           301.8952   |    15 |           |      |                     |    |
Y I       |           302.1725   |   200 |           |      |                     |    |
Y I       |           302.22814  |   175 | 6.6e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           302.649    |    26 |           |      |                     |    |
Y II      |           303.659    |    30 |           |      |                     |    |
Y I       |           304.483    |    24 |           |      |                     |    |
Y I       |           304.53628  |   100 | 1.07e+07  |      |                     |    |
Y I       |           304.711    |    12 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           305.395    |       | 1.9e+05   |      |                     |    |
Y II      |           305.522    |    60 |           |      |                     |    |
Y II      |           308.685    |    60 |           |      |                     |    |
Y I       |           309.17211  |    50 |           |      |                     |    |
Y II      |           309.376    |    22 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           309.588    |    95 |           |      |                     |    |
Y I       |           311.1797   |    11 |           |      |                     |    |
Y II      |           311.204    |    55 | 1.3e+06   |      |                     |    |
Y I       |           311.4283   |     5 |           |      |                     |    |
