
-----------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
            Air (nm)  |       |           |      |                     |    |
-----------------------------------------------------------------------------
                      |       |           |      |                     |    |
           235.4171   |     4 |           |      |                     |    |
           249.0403   |     5 |           |      |                     |    |
           268.1664   |    10 |           |      |                     |    |
           269.4200   |    20 |           |      |                     |    |
           269.5381   |    15 |           |      |                     |    |
                      |       |           |      |                     |    |
           272.2992   |    25 |           |      |                     |    |
           273.00873  |     6 |           |      |                     |    |
           274.25018  |    40 |           |      |                     |    |
           276.0073   |    40 |           |      |                     |    |
           279.1194   |    10 |           |      |                     |    |
                      |       |           |      |                     |    |
           281.3657   |    40 |           |      |                     |    |
           281.8850   |     1 |           |      |                     |    |
           282.25655  |     2 |           |      |                     |    |
           288.64547  |    10 |           |      |                     |    |
           291.9049   |    50 |           |      |                     |    |
                      |       |           |      |                     |    |
           294.8406   |    50 | 3.5e+07   |      |                     |    |
           296.4964   |    50 |           |      |                     |    |
           297.4588   |    50 | 3.5e+07   |      |                     |    |
           298.4254   |   150 | 4.8e+07   |      |                     |    |
           299.52574  |    70 | 5.1e+06   |      |                     |    |
                      |       |           |      |                     |    |
           299.6939   |   125 | 8.4e+06   |      |                     |    |
           300.52618  |    70 | 4.8e+06   |      |                     |    |
           301.8952   |    15 |           |      |                     |    |
           302.1725   |   200 |           |      |                     |    |
           302.22814  |   175 | 6.6e+06   |      |                     |    |
                      |       |           |      |                     |    |
           304.483    |    24 |           |      |                     |    |
           304.53628  |   100 | 1.07e+07  |      |                     |    |
           304.711    |    12 |           |      |                     |    |
           305.395    |       | 1.9e+05   |      |                     |    |
           309.17211  |    50 |           |      |                     |    |
                      |       |           |      |                     |    |
           311.1797   |    11 |           |      |                     |    |
           311.4283   |     5 |           |      |                     |    |
           315.56472  |    30 | 2.7e+05   |      |                     |    |
           317.28352  |     7 | 9.9e+05   |      |                     |    |
           318.5944   |     2 | 1.2e+05   |      |                     |    |
                      |       |           |      |                     |    |
           319.13000  |    50 |           |      |                     |    |
           320.9377   |     3 | 3.0e+05   |      |                     |    |
           322.708    |     2 | 1.10e+05  |      |                     |    |
           334.0378   |     7 |           |      |                     |    |
           338.85823  |    30 |           |      |                     |    |
                      |       |           |      |                     |    |
           339.7032   |     2 |           |      |                     |    |
           341.24636  |    30 |           |      |                     |    |
           345.09404  |    80 |           |      |                     |    |
           348.40475  |  1300 | 1.2e+06   |      |                     |    |
           348.57223  |  1000 |           |      |                     |    |
                      |       |           |      |                     |    |
           352.15330  |   100 |           |      |                     |    |
           354.96586  |     6 | 1.0e+05   |      |                     |    |
           355.1789   |    50 |           |      |                     |    |
           355.26905  |   500 | 2.3e+07   |      |                     |    |
           355.87414  |  1200 |           |      |                     |    |
                      |       |           |      |                     |    |
           357.14306  |   150 |           |      |                     |    |
           357.60526  |   250 |           |      |                     |    |
           358.7743   |    45 |           |      |                     |    |
           358.96830  |   125 |           |      |                     |    |
           359.2915   |  6000 |           |      |                     |    |
                      |       |           |      |                     |    |
           362.0940   |  7700 |           |      |                     |    |
           369.2523   |   450 |           |      |                     |    |
           371.80915  |   300 |           |      |                     |    |
           373.86107  |   400 |           |      |                     |    |
           374.9891   |   200 |           |      |                     |    |
                      |       |           |      |                     |    |
           387.67825  |   100 |           |      |                     |    |
           388.77648  |    70 |           |      |                     |    |
           390.45961  |   150 |           |      |                     |    |
           391.8248   |   100 |           |      |                     |    |
           393.0098   |   300 |           |      |                     |    |
                      |       |           |      |                     |    |
           395.50850  |   175 |           |      |                     |    |
           398.74804  |   125 |           |      |                     |    |
           403.9826   |   500 |           |      |                     |    |
           404.76284  |    20 |           |      |                     |    |
           407.7359   | 13800 | 1.1e+08   |      |                     |    |
                      |       |           |      |                     |    |
           408.11852  |   500 |           |      |                     |    |
           408.3705   | 15000 | 2.5e+07   |      |                     |    |
           410.2364   |  1800 | 1.3e+08   |      |                     |    |
           410.63842  |   950 |           |      |                     |    |
           411.0805   |   350 |           |      |                     |    |
                      |       |           |      |                     |    |
           412.8304   |   890 | 1.6e+08   |      |                     |    |
           414.2841   |   750 | 1.6e+08   |      |                     |    |
           415.7624   |   200 |           |      |                     |    |
           416.75131  |   200 | 2.38e+07  |      |                     |    |
           417.41332  |   400 |           |      |                     |    |
                      |       |           |      |                     |    |
           421.30180  |   500 |           |      |                     |    |
           421.3524   |   250 |           |      |                     |    |
           421.7799   |  1300 |           |      |                     |    |
           422.06290  |  2000 |           |      |                     |    |
           422.42529  |   900 |           |      |                     |    |
                      |       |           |      |                     |    |
           423.5929   |  1400 | 3.0e+07   |      |                     |    |
           425.1201   |  1000 |           |      |                     |    |
           430.22899  |   850 |           |      |                     |    |
           431.63032  |   200 |           |      |                     |    |
           433.07703  |   300 |           |      |                     |    |
                      |       |           |      |                     |    |
           433.7275   |   150 |           |      |                     |    |
           434.46355  |   200 |           |      |                     |    |
           434.8783   |   250 |           |      |                     |    |
           435.2322   |   100 | 6.7e+05   |      |                     |    |
           435.2703   |   100 |           |      |                     |    |
                      |       |           |      |                     |    |
           435.7726   |   300 |           |      |                     |    |
           436.60235  |   450 |           |      |                     |    |
           437.5614   |     2 |           |      |                     |    |
           437.9327   |   400 | 7.83e+07  |      |                     |    |
           438.5474   |   100 | 6.9e+06   |      |                     |    |
                      |       |           |      |                     |    |
           438.7738   |    50 |           |      |                     |    |
           439.4007   |   125 | 1.9e+06   |      |                     |    |
           439.4669   |   100 |           |      |                     |    |
           440.9700   |     3 | 2.7e+05   |      |                     |    |
           441.74307  |   125 | 3.2e+06   |      |                     |    |
                      |       |           |      |                     |    |
           443.73402  |   400 | 8.64e+06  |      |                     |    |
           444.3652   |   175 | 1.1e+07   |      |                     |    |
           444.66226  |   300 |           |      |                     |    |
           445.9010   |    70 | 1.8e+06   |      |                     |    |
           446.5267   |    12 |           |      |                     |    |
                      |       |           |      |                     |    |
           447.38756  |    25 |           |      |                     |    |
           447.5721   |   125 |           |      |                     |    |
           447.6951   |    70 | 2.8e+07   |      |                     |    |
           447.74424  |    70 |           |      |                     |    |
           448.7279   |   100 |           |      |                     |    |
                      |       |           |      |                     |    |
           448.7460   |   100 |           |      |                     |    |
           449.1740   |   175 | 2.3e+06   |      |                     |    |
           449.24181  |   175 |           |      |                     |    |
           450.5948   |   100 |           |      |                     |    |
           451.35745  |   125 |           |      |                     |    |
                      |       |           |      |                     |    |
           451.4007   |   150 | 3.34e+07  |      |                     |    |
           452.2029   |   100 |           |      |                     |    |
           452.7239   |    60 |           |      |                     |    |
           452.7783   |    20 | 8.33e+07  |      |                     |    |
           453.40869  |    80 | 4.4e+06   |      |                     |    |
                      |       |           |      |                     |    |
           454.43060  |   150 | 4.10e+07  |      |                     |    |
           455.9362   |   150 | 4.0e+07   |      |                     |    |
           456.43913  |   125 |           |      |                     |    |
