
----------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
           Air (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------
                     |       |           |      |                     |    |
           224.306   |   350 |           |      |                     |    |
           241.393   |    25 |           |      |                     |    |
           242.220   |   560 |           |      |                     |    |
           246.061   |    60 |           |      |                     |    |
           273.485   |    22 |           |      |                     |    |
                     |       |           |      |                     |    |
           278.521   |    30 |           |      |                     |    |
           278.559   |    12 |           |      |                     |    |
           280.011   |    30 |           |      |                     |    |
           282.537   |    22 |           |      |                     |    |
           282.638   |    45 |           |      |                     |    |
                     |       |           |      |                     |    |
           285.443   |    70 |           |      |                     |    |
           285.630   |    26 |           |      |                     |    |
           285.787   |    11 |           |      |                     |    |
           289.769   |    18 |           |      |                     |    |
           289.882   |    14 |           |      |                     |    |
                     |       |           |      |                     |    |
           293.003   |   18w |           |      |                     |    |
           297.391   |    18 |           |      |                     |    |
           298.055   |    30 |           |      |                     |    |
           302.649   |    26 |           |      |                     |    |
           303.659   |    30 |           |      |                     |    |
                     |       |           |      |                     |    |
           305.522   |    60 |           |      |                     |    |
           308.685   |    60 |           |      |                     |    |
           309.376   |    22 |           |      |                     |    |
           309.588   |    95 |           |      |                     |    |
           311.204   |    55 | 1.3e+06   |      |                     |    |
                     |       |           |      |                     |    |
           312.877   |    60 |           |      |                     |    |
           312.993   |    80 |           |      |                     |    |
           313.517   |    95 |           |      |                     |    |
           317.306   |   110 |           |      |                     |    |
           317.941   |   220 | 3.8e+06   |      |                     |    |
                     |       |           |      |                     |    |
           319.562   |  2300 | 8.23e+07  |      |                     |    |
           320.027   |  2200 | 4.8e+07   |      |                     |    |
           320.332   |  2200 | 2.77e+08  |      |                     |    |
           321.669   |  3900 | 2.0e+08   |      |                     |    |
           324.228   |  6200 | 2.0e+08   |      |                     |    |
                     |       |           |      |                     |    |
           328.091   |   310 |           |      |                     |    |
           330.847   |    19 |           |      |                     |    |
           332.789   |  4700 |           |      |                     |    |
           336.200   |   160 |           |      |                     |    |
           344.882   |   200 | 4.1e+06   |      |                     |    |
                     |       |           |      |                     |    |
           346.788   |   110 | 2.7e+06   |      |                     |    |
           349.609   |  1700 | 3.49e+07  |      |                     |    |
           354.601   |    45 |           |      |                     |    |
           354.901   |  3900 | 3.97e+07  |      |                     |    |
           358.452   |  3300 | 4.02e+07  |      |                     |    |
                     |       |           |      |                     |    |
           360.073   | 10000 | 1.4e+08   |      |                     |    |
           360.192   |  6200 | 1.13e+08  |      |                     |    |
           361.105   |  7800 | 1.04e+08  |      |                     |    |
           362.871   |  1900 | 3.3e+07   |      |                     |    |
           363.312   |  7800 |           |      |                     |    |
                     |       |           |      |                     |    |
           366.461   |  3000 | 3.7e+07   |      |                     |    |
           366.849   |    45 |           |      |                     |    |
           371.030   | 13000 | 1.5e+08   |      |                     |    |
           374.755   |  1200 | 1.9e+07   |      |                     |    |
           377.433   | 10000 | 1.1e+08   |      |                     |    |
                     |       |           |      |                     |    |
           377.656   |  1400 | 2.42e+07  |      |                     |    |
           378.230   |    50 |           |      |                     |    |
           378.870   |  7400 | 8.1e+07   |      |                     |    |
           381.835   |  1300 | 9.70e+06  |      |                     |    |
           383.288   |  4000 | 3.0e+07   |      |                     |    |
                     |       |           |      |                     |    |
           384.787   |    70 |           |      |                     |    |
           387.828   |   480 | 2.9e+06   |      |                     |    |
           393.066   |   240 | 2.1e+06   |      |                     |    |
           395.036   |  4400 | 2.80e+07  |      |                     |    |
           395.160   |   150 | 1.5e+06   |      |                     |    |
                     |       |           |      |                     |    |
           398.260   |  3600 | 2.7e+07   |      |                     |    |
           412.492   |   320 | 1.8e+06   |      |                     |    |
           417.754   |  8000 | 5.27e+07  |      |                     |    |
           419.928   |   120 | 5.36e+05  |      |                     |    |
           420.470   |   380 | 2.20e+06  |      |                     |    |
                     |       |           |      |                     |    |
           423.573   |   600 | 2.3e+06   |      |                     |    |
           430.963   |  2800 | 1.29e+07  |      |                     |    |
           435.873   |   800 | 5.55e+06  |      |                     |    |
           437.494   | 12000 | 9.97e+07  |      |                     |    |
           439.802   |  1800 | 1.16e+07  |      |                     |    |
                     |       |           |      |                     |    |
           442.259   |   890 | 1.83e+07  |      |                     |    |
           468.232   |   260 | 1.9e+06   |      |                     |    |
           478.658   |   160 | 2.1e+06   |      |                     |    |
           482.331   |   190 | 4.3e+06   |      |                     |    |
           485.487   |   890 | 3.9e+07   |      |                     |    |
                     |       |           |      |                     |    |
           488.1433  |    20 | 1.5e+05   |      |                     |    |
           488.369   |  1900 | 4.7e+07   |      |                     |    |
           490.012   |  1100 | 4.51e+07  |      |                     |    |
           498.213   |   120 | 1.5e+06   |      |                     |    |
           508.742   |  1100 | 2.0e+07   |      |                     |    |
                     |       |           |      |                     |    |
           511.911   |   210 | 1.6e+06   |      |                     |    |
           512.321   |   450 |           |      |                     |    |
           519.643   |   120 |           |      |                     |    |
           520.041   |   960 | 1.3e+07   |      |                     |    |
           520.572   |  1500 | 1.6e+07   |      |                     |    |
                     |       |           |      |                     |    |
           528.982   |    60 | 6.7e+05   |      |                     |    |
           532.078   |    45 | 3.9e+05   |      |                     |    |
           540.278   |   220 |           |      |                     |    |
           547.339   |    90 | 4.3e+06   |      |                     |    |
           548.074   |    90 | 7.62e+06  |      |                     |    |
                     |       |           |      |                     |    |
           549.741   |   240 | 1.2e+07   |      |                     |    |
           550.990   |   250 | 4.24e+06  |      |                     |    |
           552.170   |       |           |      |                     |    |
           554.461   |       | 1.8e+07   |      |                     |    |
           554.602   |    90 | 5.8e+06   |      |                     |    |
                     |       |           |      |                     |    |
           566.294   |   740 |           |      |                     |    |
           572.889   |    75 | 3.0e+06   |      |                     |    |
           578.169   |   100 |           |      |                     |    |
           661.375   |    95 | 1.7e+06   |      |                     |    |
           679.541   |   70w |           |      |                     |    |
                     |       |           |      |                     |    |
           683.249   |    14 | 3.3e+05   |      |                     |    |
           685.824   |    14 |           |      |                     |    |
           689.600   |    21 |           |      |                     |    |
           695.168   |    10 |           |      |                     |    |
           726.417   |    35 | 1.3e+06   |      |                     |    |
                     |       |           |      |                     |    |
           733.296   |     5 |           |      |                     |    |
           745.030   |    29 |           |      |                     |    |
           788.190   |   110 |           |      |                     |    |
           883.585   |   19w |           |      |                     |    |
