
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
          |                    |       |           |      |                     |    |
Zn I      |           110.91   |    20 | 3.05e+07  |      |                     |    |
Zn II     |           119.323  |    60 |           |      |                     |    |
Zn IV     |           119.329  |    15 |           |      |                     |    |
Zn IV     |           120.344  |    15 |           |      |                     |    |
Zn IV     |           121.271  |     8 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           121.414  |     5 |           |      |                     |    |
Zn IV     |           122.435  |    25 |           |      |                     |    |
Zn IV     |           122.762  |    20 |           |      |                     |    |
Zn IV     |           122.865  |    40 |           |      |                     |    |
Zn IV     |           123.146  |    30 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           123.726  |    30 |           |      |                     |    |
Zn IV     |           123.912  |    50 |           |      |                     |    |
Zn IV     |           124.626  |     3 |           |      |                     |    |
Zn IV     |           124.701  |    15 |           |      |                     |    |
Zn IV     |           124.969  |    50 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           125.367  |    30 |           |      |                     |    |
Zn IV     |           125.731  |    30 |           |      |                     |    |
Zn IV     |           125.968  |     8 |           |      |                     |    |
Zn IV     |           126.574  |   500 |           |      |                     |    |
Zn IV     |           126.915  |     5 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           127.221  |   100 |           |      |                     |    |
Zn IV     |           127.298  |   200 |           |      |                     |    |
Zn IV     |           127.578  |    30 |           |      |                     |    |
Zn II     |           127.731  |    60 |           |      |                     |    |
Zn IV     |           127.851  |    25 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           128.047  |   100 |           |      |                     |    |
Zn IV     |           129.183  |   100 |           |      |                     |    |
Zn IV     |           129.249  |   100 |           |      |                     |    |
Zn IV     |           129.432  |    10 |           |      |                     |    |
Zn IV     |           129.662  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           129.673  |   100 |           |      |                     |    |
Zn IV     |           130.188  |    20 |           |      |                     |    |
Zn IV     |           130.666  |   500 |           |      |                     |    |
Zn IV     |           131.800  |   200 |           |      |                     |    |
Zn IV     |           132.074  |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           132.122  |   200 |           |      |                     |    |
Zn IV     |           132.233  |   200 |           |      |                     |    |
Zn IV     |           132.243  |   200 |           |      |                     |    |
Zn IV     |           132.674  |   200 |           |      |                     |    |
Zn IV     |           132.911  |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           133.332  |   100 |           |      |                     |    |
Zn IV     |           134.408  |   150 |           |      |                     |    |
Zn IV     |           134.798  |   200 |           |      |                     |    |
Zn IV     |           134.990  |   200 |           |      |                     |    |
Zn IV     |           135.227  |    50 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           135.620  |   100 |           |      |                     |    |
Zn IV     |           135.782  |   200 |           |      |                     |    |
Zn IV     |           136.343  |   100 |           |      |                     |    |
Zn IV     |           136.395  |   200 |           |      |                     |    |
Zn II     |           136.668  |  60bl |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           136.817  |    40 |           |      |                     |    |
Zn IV     |           136.953  |   200 |           |      |                     |    |
Zn IV     |           137.042  |    50 |           |      |                     |    |
Zn IV     |           137.533  |   100 |           |      |                     |    |
Zn IV     |           137.598  |    50 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           137.765  |   200 |           |      |                     |    |
Zn IV     |           139.124  |    50 |           |      |                     |    |
Zn IV     |           139.307  |    80 |           |      |                     |    |
Zn IV     |           139.454  |    50 |           |      |                     |    |
Zn IV     |           140.014  |    30 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           140.398  |    15 |           |      |                     |    |
Zn I      |           140.412  |       |           |      |                     |    |
Zn IV     |           140.940  |    30 |           |      |                     |    |
Zn IV     |           141.033  |     5 |           |      |                     |    |
Zn II     |           141.044  |    60 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           141.960  |    30 |           |      |                     |    |
Zn IV     |           142.779  |    50 |           |      |                     |    |
Zn III    |           143.215  |   100 |           |      |                     |    |
Zn IV     |           143.858  |    20 |           |      |                     |    |
Zn II     |           143.909  |    60 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           144.504  |    60 |           |      |                     |    |
Zn IV     |           145.565  |    80 |           |      |                     |    |
Zn III    |           145.672  |   200 |           |      |                     |    |
Zn II     |           145.691  |    50 |           |      |                     |    |
Zn I      |           145.757  |       |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           145.998  |   200 |           |      |                     |    |
Zn III    |           146.420  |   100 |           |      |                     |    |
Zn III    |           146.575  |   100 |           |      |                     |    |
Zn III    |           147.341  |   300 |           |      |                     |    |
Zn IV     |           147.643  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           147.702  |    60 |           |      |                     |    |
Zn IV     |           148.125  |   100 |           |      |                     |    |
Zn III    |           148.926  |   100 |           |      |                     |    |
Zn III    |           149.096  |   100 |           |      |                     |    |
Zn III    |           149.879  |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           149.942  |   300 |           |      |                     |    |
Zn III    |           150.042  |   300 |           |      |                     |    |
Zn III    |           150.592  |   300 |           |      |                     |    |
Zn II     |           151.476  |    50 |           |      |                     |    |
Zn III    |           151.585  |   300 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn IV     |           152.984  |   100 |           |      |                     |    |
Zn III    |           153.309  |    30 |           |      |                     |    |
Zn IV     |           153.368  |    50 |           |      |                     |    |
Zn III    |           155.230  |   300 |           |      |                     |    |
Zn III    |           155.294  |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           155.311  |    80 |           |      |                     |    |
Zn III    |           156.079  |   200 |           |      |                     |    |
Zn III    |           156.255  |   150 |           |      |                     |    |
Zn II     |           157.299  |    90 |           |      |                     |    |
Zn III    |           158.153  |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           158.206  |   100 |           |      |                     |    |
Zn I      |           158.957  |       |           |      |                     |    |
Zn III    |           159.852  |   100 |           |      |                     |    |
Zn III    |           160.087  |   100 |           |      |                     |    |
Zn II     |           161.768  |    60 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           161.961  |   100 |           |      |                     |    |
Zn III    |           162.251  |   150 |           |      |                     |    |
Zn III    |           162.919  |   200 |           |      |                     |    |
Zn III    |           163.933  |   200 |           |      |                     |    |
Zn III    |           164.482  |   150 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           165.174  |   100 |           |      |                     |    |
Zn II     |           165.825  |    60 |           |      |                     |    |
Zn III    |           167.305  |   200 |           |      |                     |    |
Zn III    |           168.859  |   100 |           |      |                     |    |
