
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           110.91   |    20 | 3.05e+07  |      |                     |    |
           140.412  |       |           |      |                     |    |
           145.757  |       |           |      |                     |    |
           158.957  |       |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           207.908  |   120 |           |      |                     |    |
           208.733  |    60 |           |      |                     |    |
           209.693  |    80 |           |      |                     |    |
           210.442  |   150 |           |      |                     |    |
           213.856  |  800r | 7.09e+08  |      |                     |    |
                    |       |           |      |                     |    |
           251.581  |   150 |           |      |                     |    |
           256.987  |  100w |           |      |                     |    |
           258.244  |   100 |           |      |                     |    |
           258.249  |   300 |           |      |                     |    |
           260.856  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           260.864  |   300 |           |      |                     |    |
           267.053  |   200 |           |      |                     |    |
           268.416  |   300 |           |      |                     |    |
           271.249  |   300 |           |      |                     |    |
           275.645  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           277.086  |   300 |           |      |                     |    |
           277.098  |   300 |           |      |                     |    |
           280.087  |   400 |           |      |                     |    |
           280.106  |   100 |           |      |                     |    |
           280.117  |     5 |           |      |                     |    |
                    |       |           |      |                     |    |
           301.836  |   125 |           |      |                     |    |
           303.578  |   200 |           |      |                     |    |
           307.206  |   200 |           |      |                     |    |
           307.590  |   150 | 3.29e+04  |      |                     |    |
           328.233  |  500r | 9.0e+07   |      |                     |    |
                    |       |           |      |                     |    |
           330.258  |   800 | 1.2e+08   |      |                     |    |
           330.294  |  700r | 6.7e+07   |      |                     |    |
           334.502  |   800 | 1.7e+08   |      |                     |    |
           334.557  |   500 | 4.0e+07   |      |                     |    |
           334.594  |   150 | 4.5e+06   |      |                     |    |
                    |       |           |      |                     |    |
           379.900  |     5 |           |      |                     |    |
           388.334  |    50 |           |      |                     |    |
           396.543  |    15 |           |      |                     |    |
           411.321  |    10 |           |      |                     |    |
           429.288  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           429.833  |    25 |           |      |                     |    |
           462.981  |    35 |           |      |                     |    |
           468.014  |   300 |           |      |                     |    |
           472.215  |   400 |           |      |                     |    |
           481.053  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           506.866  |     7 |           |      |                     |    |
           506.958  |    15 |           |      |                     |    |
           518.198  |   200 |           |      |                     |    |
           530.865  |     8 |           |      |                     |    |
           531.024  |     7 |           |      |                     |    |
                    |       |           |      |                     |    |
           531.102  |     7 |           |      |                     |    |
           577.210  |     4 |           |      |                     |    |
           577.550  |     4 |           |      |                     |    |
           577.711  |    10 |           |      |                     |    |
           623.790  |     8 |           |      |                     |    |
                    |       |           |      |                     |    |
           623.917  |     8 |           |      |                     |    |
           636.234  | 1000w | 4.74e+07  |      |                     |    |
           647.918  |    10 |           |      |                     |    |
           692.832  |    15 |           |      |                     |    |
           693.847  |     8 |           |      |                     |    |
                    |       |           |      |                     |    |
           694.320  |     3 |           |      |                     |    |
           779.936  |    10 |           |      |                     |    |
          1105.425  |   100 | 2.43e+07  |      |                     |    |
