
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           119.323  |    60 |           |      |                     |    |
           127.731  |    60 |           |      |                     |    |
           136.668  |  60bl |           |      |                     |    |
           141.044  |    60 |           |      |                     |    |
           143.909  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           144.504  |    60 |           |      |                     |    |
           145.691  |    50 |           |      |                     |    |
           147.702  |    60 |           |      |                     |    |
           151.476  |    50 |           |      |                     |    |
           157.299  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           161.768  |    60 |           |      |                     |    |
           165.825  |    60 |           |      |                     |    |
           171.325  |    50 |           |      |                     |    |
           171.576  |    60 |           |      |                     |    |
           173.561  |  80bl |           |      |                     |    |
                    |       |           |      |                     |    |
           173.689  |    60 |           |      |                     |    |
           173.790  |    50 |           |      |                     |    |
           174.712  |    75 |           |      |                     |    |
           176.219  |   80c |           |      |                     |    |
           177.404  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           179.076  |    80 |           |      |                     |    |
           179.764  |   100 |           |      |                     |    |
           181.105  | 100bl |           |      |                     |    |
           181.648  |    80 |           |      |                     |    |
           183.138  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           183.357  | 100bl |           |      |                     |    |
           183.601  |    70 |           |      |                     |    |
           183.665  |    75 |           |      |                     |    |
           184.756  |    75 |           |      |                     |    |
           186.412  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           186.608  |   100 |           |      |                     |    |
           187.213  |   100 |           |      |                     |    |
           189.426  |    75 |           |      |                     |    |
           190.152  |    60 |           |      |                     |    |
           191.481  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           191.896  | 100bl |           |      |                     |    |
           192.027  |    70 |           |      |                     |    |
           192.967  | 100bl |           |      |                     |    |
           194.558  |    60 |           |      |                     |    |
           195.191  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           195.300  |    80 |           |      |                     |    |
           195.487  |    75 |           |      |                     |    |
           196.454  |    80 |           |      |                     |    |
           196.940  |   100 |           |      |                     |    |
           198.211  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           198.561  |    70 |           |      |                     |    |
           198.699  |   100 |           |      |                     |    |
           199.337  |    50 |           |      |                     |    |
           199.692  |    50 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           201.194  |   100 |           |      |                     |    |
           202.548  |   500 | 3.3e+08   |      |                     |    |
           203.931  |    60 |           |      |                     |    |
           206.200  |   500 |           |      |                     |    |
           206.423  |   200 | 4.6e+08   |      |                     |    |
                    |       |           |      |                     |    |
           207.993  |    50 |           |      |                     |    |
           209.994  |   300 | 5.6e+08   |      |                     |    |
           210.218  |   200 | 9.3e+07   |      |                     |    |
           212.274  |    75 |           |      |                     |    |
           214.742  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           221.018  |    60 |           |      |                     |    |
           227.315  |    50 |           |      |                     |    |
           250.199  |  1000 |           |      |                     |    |
           252.796  |    50 |           |      |                     |    |
           255.795  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           256.780  |    50 |           |      |                     |    |
           256.798  |    50 |           |      |                     |    |
           280.196  |   100 |           |      |                     |    |
           290.230  |   100 |           |      |                     |    |
           317.145  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           317.223  |   100 |           |      |                     |    |
           319.631  |   300 |           |      |                     |    |
           319.710  |   100 |           |      |                     |    |
           329.942  |    50 |           |      |                     |    |
           330.601  |    75 |           |      |                     |    |
                    |       |           |      |                     |    |
           380.634  |    50 |           |      |                     |    |
           384.029  |   100 |           |      |                     |    |
           491.162  |   800 | 1.6e+08   |      |                     |    |
           492.403  |   500 |           |      |                     |    |
           589.433  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           602.118  |   500 |           |      |                     |    |
           610.249  |   500 |           |      |                     |    |
           611.153  |   100 |           |      |                     |    |
           621.461  |   500 |           |      |                     |    |
           747.88   |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           758.85   |   300 |           |      |                     |    |
           761.29   |   100 |           |      |                     |    |
           773.25   |   300 |           |      |                     |    |
           775.79   |   200 |           |      |                     |    |
