
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           143.215  |   100 |           |      |                     |    |
           145.672  |   200 |           |      |                     |    |
           146.420  |   100 |           |      |                     |    |
           146.575  |   100 |           |      |                     |    |
           147.341  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.926  |   100 |           |      |                     |    |
           149.096  |   100 |           |      |                     |    |
           149.879  |   200 |           |      |                     |    |
           149.942  |   300 |           |      |                     |    |
           150.042  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           150.592  |   300 |           |      |                     |    |
           151.585  |   300 |           |      |                     |    |
           153.309  |    30 |           |      |                     |    |
           155.230  |   300 |           |      |                     |    |
           155.294  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           155.311  |    80 |           |      |                     |    |
           156.079  |   200 |           |      |                     |    |
           156.255  |   150 |           |      |                     |    |
           158.153  |   200 |           |      |                     |    |
           158.206  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           159.852  |   100 |           |      |                     |    |
           160.087  |   100 |           |      |                     |    |
           161.961  |   100 |           |      |                     |    |
           162.251  |   150 |           |      |                     |    |
           162.919  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           163.933  |   200 |           |      |                     |    |
           164.482  |   150 |           |      |                     |    |
           165.174  |   100 |           |      |                     |    |
           167.305  |   200 |           |      |                     |    |
           168.859  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           169.540  |    80 |           |      |                     |    |
           170.665  |    80 |           |      |                     |    |
           174.963  |    80 |           |      |                     |    |
           175.384  |    50 |           |      |                     |    |
           176.769  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           183.932  |    80 |           |      |                     |    |
