
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           119.329  |    15 |           |      |                     |    |
           120.344  |    15 |           |      |                     |    |
           121.271  |     8 |           |      |                     |    |
           121.414  |     5 |           |      |                     |    |
           122.435  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.762  |    20 |           |      |                     |    |
           122.865  |    40 |           |      |                     |    |
           123.146  |    30 |           |      |                     |    |
           123.726  |    30 |           |      |                     |    |
           123.912  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           124.626  |     3 |           |      |                     |    |
           124.701  |    15 |           |      |                     |    |
           124.969  |    50 |           |      |                     |    |
           125.367  |    30 |           |      |                     |    |
           125.731  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           125.968  |     8 |           |      |                     |    |
           126.574  |   500 |           |      |                     |    |
           126.915  |     5 |           |      |                     |    |
           127.221  |   100 |           |      |                     |    |
           127.298  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.578  |    30 |           |      |                     |    |
           127.851  |    25 |           |      |                     |    |
           128.047  |   100 |           |      |                     |    |
           129.183  |   100 |           |      |                     |    |
           129.249  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           129.432  |    10 |           |      |                     |    |
           129.662  |   100 |           |      |                     |    |
           129.673  |   100 |           |      |                     |    |
           130.188  |    20 |           |      |                     |    |
           130.666  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           131.800  |   200 |           |      |                     |    |
           132.074  |   200 |           |      |                     |    |
           132.122  |   200 |           |      |                     |    |
           132.233  |   200 |           |      |                     |    |
           132.243  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           132.674  |   200 |           |      |                     |    |
           132.911  |   200 |           |      |                     |    |
           133.332  |   100 |           |      |                     |    |
           134.408  |   150 |           |      |                     |    |
           134.798  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           134.990  |   200 |           |      |                     |    |
           135.227  |    50 |           |      |                     |    |
           135.620  |   100 |           |      |                     |    |
           135.782  |   200 |           |      |                     |    |
           136.343  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           136.395  |   200 |           |      |                     |    |
           136.817  |    40 |           |      |                     |    |
           136.953  |   200 |           |      |                     |    |
           137.042  |    50 |           |      |                     |    |
           137.533  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           137.598  |    50 |           |      |                     |    |
           137.765  |   200 |           |      |                     |    |
           139.124  |    50 |           |      |                     |    |
           139.307  |    80 |           |      |                     |    |
           139.454  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           140.014  |    30 |           |      |                     |    |
           140.398  |    15 |           |      |                     |    |
           140.940  |    30 |           |      |                     |    |
           141.033  |     5 |           |      |                     |    |
           141.960  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           142.779  |    50 |           |      |                     |    |
           143.858  |    20 |           |      |                     |    |
           145.565  |    80 |           |      |                     |    |
           145.998  |   200 |           |      |                     |    |
           147.643  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.125  |   100 |           |      |                     |    |
           152.984  |   100 |           |      |                     |    |
           153.368  |    50 |           |      |                     |    |
