
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           237.442  |    60 |           |      |                     |    |
           238.417  |    60 |           |      |                     |    |
           238.801  |    50 |           |      |                     |    |
           238.921  |    50 |           |      |                     |    |
           240.552  |    45 |           |      |                     |    |
                    |       |           |      |                     |    |
           253.965  |    90 |           |      |                     |    |
           255.051  |    45 |           |      |                     |    |
           255.643  |    45 |           |      |                     |    |
           256.745  |    60 |           |      |                     |    |
           258.965  |    22 |           |      |                     |    |
                    |       |           |      |                     |    |
           260.943  |    45 |           |      |                     |    |
           263.542  |    80 |           |      |                     |    |
           264.778  |    55 |           |      |                     |    |
           265.869  |    70 |           |      |                     |    |
           268.775  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           269.292  |    22 |           |      |                     |    |
           272.547  |   140 |           |      |                     |    |
           277.404  | 170bl |           |      |                     |    |
           279.014  |   200 |           |      |                     |    |
           279.204  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           281.490  |   620 |           |      |                     |    |
           283.723  |   710 |           |      |                     |    |
           284.852  |   350 |           |      |                     |    |
           287.598  |   490 |           |      |                     |    |
           289.226  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           296.087  |   320 |           |      |                     |    |
           296.919  |   120 |           |      |                     |    |
           298.539  |   820 |           |      |                     |    |
           300.537  |   100 |           |      |                     |    |
           300.550  |   160 |           |      |                     |    |
                    |       |           |      |                     |    |
           301.175  |   820 |           |      |                     |    |
           302.952  |   880 |           |      |                     |    |
           304.583  |   100 |           |      |                     |    |
           308.534  |   110 |           |      |                     |    |
           309.480  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           309.582  |   110 |           |      |                     |    |
           310.837  |   110 |           |      |                     |    |
           312.074  |   350 |           |      |                     |    |
           313.111  |   140 |           |      |                     |    |
           313.207  |   350 |           |      |                     |    |
                    |       |           |      |                     |    |
           313.323  |   110 |           |      |                     |    |
           313.696  |   180 |           |      |                     |    |
           313.980  |   140 |           |      |                     |    |
           314.882  |   180 |           |      |                     |    |
           315.782  |   320 |           |      |                     |    |
                    |       |           |      |                     |    |
           319.121  |   540 |           |      |                     |    |
           321.201  |   540 |           |      |                     |    |
           323.412  |   630 |           |      |                     |    |
           325.039  |   320 |           |      |                     |    |
           325.428  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           326.011  |   200 |           |      |                     |    |
           326.966  |   190 |           |      |                     |    |
           328.273  | 320bl |           |      |                     |    |
           335.366  |   130 |           |      |                     |    |
           336.046  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           337.059  |   150 |           |      |                     |    |
           341.466  |   380 |           |      |                     |    |
           344.736  |   600 |           |      |                     |    |
           345.591  |   200 |           |      |                     |    |
           347.119  |   600 |           |      |                     |    |
                    |       |           |      |                     |    |
           347.879  |   200 |           |      |                     |    |
           350.932  |  1000 |           |      |                     |    |
           351.960  |  2000 |           |      |                     |    |
           353.322  |   440 |           |      |                     |    |
           353.516  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           354.768  |  1800 |           |      |                     |    |
           354.974  |   210 |           |      |                     |    |
           355.046  |   630 |           |      |                     |    |
           356.610  |  1100 |           |      |                     |    |
           356.888  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           357.579  |  1100 |           |      |                     |    |
           358.629  |   880 |           |      |                     |    |
           360.119  |  3500 |           |      |                     |    |
           362.386  |  1100 |           |      |                     |    |
           363.415  |   320 |           |      |                     |    |
                    |       |           |      |                     |    |
           366.120  |   260 |           |      |                     |    |
           366.365  |  1100 |           |      |                     |    |
           376.439  |   480 |           |      |                     |    |
           376.672  |   480 |           |      |                     |    |
           378.054  |   720 |           |      |                     |    |
                    |       |           |      |                     |    |
           379.140  |   560 |           |      |                     |    |
           382.241  |   560 |           |      |                     |    |
           383.596  |  2200 |           |      |                     |    |
           384.701  |   550 |           |      |                     |    |
           384.925  |   550 |           |      |                     |    |
                    |       |           |      |                     |    |
           386.387  |  2900 |           |      |                     |    |
           386.434  |   770 |           |      |                     |    |
           387.760  |   990 |           |      |                     |    |
           387.905  |   200 |           |      |                     |    |
           388.542  |  1500 |           |      |                     |    |
                    |       |           |      |                     |    |
           389.032  |  2900 |           |      |                     |    |
           389.138  |  2000 |           |      |                     |    |
           390.052  |   400 |           |      |                     |    |
           392.179  |   610 |           |      |                     |    |
           392.953  |  1200 |           |      |                     |    |
                    |       |           |      |                     |    |
           396.666  |   490 |           |      |                     |    |
           396.826  |   990 |           |      |                     |    |
           397.350  |   660 |           |      |                     |    |
           397.529  |   200 |           |      |                     |    |
           398.160  |  200w |           |      |                     |    |
                    |       |           |      |                     |    |
           400.760  |   200 |           |      |                     |    |
           401.225  |   200 |           |      |                     |    |
           402.398  |   400 |           |      |                     |    |
           402.492  |   770 |           |      |                     |    |
           402.720  |   990 |           |      |                     |    |
                    |       |           |      |                     |    |
           402.895  |   240 |           |      |                     |    |
           403.004  |   490 |           |      |                     |    |
           403.589  |   400 |           |      |                     |    |
           404.222  |   240 |           |      |                     |    |
           404.358  |   610 |           |      |                     |    |
                    |       |           |      |                     |    |
           404.456  |   490 |           |      |                     |    |
           405.048  |   200 |           |      |                     |    |
           405.503  |   770 |           |      |                     |    |
           405.571  |   600 |           |      |                     |    |
           406.153  |   330 |           |      |                     |    |
                    |       |           |      |                     |    |
           406.416  |  1500 |           |      |                     |    |
           407.270  |  2000 |           |      |                     |    |
           407.493  |   310 |           |      |                     |    |
           407.653  |   200 |           |      |                     |    |
           407.831  |   240 |           |      |                     |    |
                    |       |           |      |                     |    |
           408.122  |  2000 |           |      |                     |    |
           410.840  |   200 |           |      |                     |    |
           412.146  |   400 |           |      |                     |    |
           415.264  |   200 |           |      |                     |    |
           416.636  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           418.332  |   200 |           |      |                     |    |
           418.756  |   660 |           |      |                     |    |
           419.476  |   400 |           |      |                     |    |
           419.909  |   610 |           |      |                     |    |
           420.146  |   610 |           |      |                     |    |
                    |       |           |      |                     |    |
           421.386  |   400 |           |      |                     |    |
           422.776  |  2000 |           |      |                     |    |
           423.606  |   200 |           |      |                     |    |
           423.931  |  2000 |           |      |                     |    |
           424.034  |   770 |           |      |                     |    |
                    |       |           |      |                     |    |
           424.120  |   770 |           |      |                     |    |
           424.169  |  1200 |           |      |                     |    |
           426.802  |   310 |           |      |                     |    |
           428.220  |   550 |           |      |                     |    |
           429.479  |   550 |           |      |                     |    |
                    |       |           |      |                     |    |
           430.289  |   310 |           |      |                     |    |
           434.113  |   550 |           |      |                     |    |
           434.789  |  1000 |           |      |                     |    |
           436.081  |   310 |           |      |                     |    |
           436.645  |   350 |           |      |                     |    |
                    |       |           |      |                     |    |
