
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           241.941  |    60 |           |      |                     |    |
           244.985  |   150 |           |      |                     |    |
           245.744  |    21 |           |      |                     |    |
           248.729  |    75 |           |      |                     |    |
           249.648  |    45 |           |      |                     |    |
                    |       |           |      |                     |    |
           253.246  |   180 |           |      |                     |    |
           254.210  |   220 |           |      |                     |    |
           255.074  |   220 |           |      |                     |    |
           256.764  |   570 |           |      |                     |    |
           256.887  |  1600 |           |      |                     |    |
                    |       |           |      |                     |    |
           257.139  |  2100 |           |      |                     |    |
           258.340  |    75 |           |      |                     |    |
           258.907  |   130 |           |      |                     |    |
           263.091  |   150 |           |      |                     |    |
           263.909  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           264.340  |    70 |           |      |                     |    |
           265.038  |   110 |           |      |                     |    |
           266.780  |   180 |           |      |                     |    |
           266.949  |    55 |           |      |                     |    |
           267.096  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           267.863  |  1800 |           |      |                     |    |
           268.176  |    35 |           |      |                     |    |
           269.260  |    90 |           |      |                     |    |
           269.353  |   160 |           |      |                     |    |
           269.406  |   180 |           |      |                     |    |
                    |       |           |      |                     |    |
           269.543  |    70 |           |      |                     |    |
           269.960  |    95 |           |      |                     |    |
           270.013  |   750 |           |      |                     |    |
           271.151  |   280 |           |      |                     |    |
           271.242  |   140 |           |      |                     |    |
                    |       |           |      |                     |    |
           271.426  |   140 |           |      |                     |    |
           272.261  |  1300 |           |      |                     |    |
           272.649  |   800 |           |      |                     |    |
           273.272  |   490 |           |      |                     |    |
           273.486  |  1400 |           |      |                     |    |
                    |       |           |      |                     |    |
           274.051  |   110 |           |      |                     |    |
           274.155  |   140 |           |      |                     |    |
           274.256  |  1100 |           |      |                     |    |
           274.586  |   660 |           |      |                     |    |
           275.221  |   660 |           |      |                     |    |
                    |       |           |      |                     |    |
           275.881  |   530 |           |      |                     |    |
           276.873  | 200bl |           |      |                     |    |
           276.885  |       |           |      |                     |    |
           277.416  |       |           |      |                     |    |
           279.690  |   160 |           |      |                     |    |
                    |       |           |      |                     |    |
           279.915  |   110 |           |      |                     |    |
           281.091  |   180 |           |      |                     |    |
           281.874  |   390 |           |      |                     |    |
           282.556  |   530 |           |      |                     |    |
           283.391  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           283.934  |   120 |           |      |                     |    |
           284.352  |   130 |           |      |                     |    |
           284.458  |   660 |           |      |                     |    |
           284.819  |   210 |           |      |                     |    |
           285.197  |   350 |           |      |                     |    |
                    |       |           |      |                     |    |
           286.981  |   340 |           |      |                     |    |
           290.523  |   160 |           |      |                     |    |
           291.599  |   300 |           |      |                     |    |
           291.664  |   110 |           |      |                     |    |
           291.824  |   270 |           |      |                     |    |
                    |       |           |      |                     |    |
           292.699  |   320 |           |      |                     |    |
           293.461  |   160 |           |      |                     |    |
           293.631  |   160 |           |      |                     |    |
           294.894  |   320 |           |      |                     |    |
           295.148  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           295.578  |   320 |           |      |                     |    |
           296.268  |   320 |           |      |                     |    |
           296.896  |   320 |           |      |                     |    |
           296.963  |   230 |           |      |                     |    |
           297.661  |   130 |           |      |                     |    |
                    |       |           |      |                     |    |
           297.805  |   320 |           |      |                     |    |
           297.918  |   230 |           |      |                     |    |
           298.102  |   160 |           |      |                     |    |
           300.374  |   320 |           |      |                     |    |
           301.332  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           301.984  |   160 |           |      |                     |    |
           302.047  |   350 |           |      |                     |    |
           302.804  |   500 |           |      |                     |    |
           303.092  |   180 |           |      |                     |    |
           303.639  | 350bl |           |      |                     |    |
                    |       |           |      |                     |    |
           305.484  |   690 |           |      |                     |    |
           306.011  |   100 |           |      |                     |    |
           306.463  |   100 |           |      |                     |    |
           309.507  |   250 |           |      |                     |    |
           309.923  |   280 |           |      |                     |    |
                    |       |           |      |                     |    |
           310.658  |   690 |           |      |                     |    |
           311.088  |   210 |           |      |                     |    |
           312.592  |   320 |           |      |                     |    |
           312.918  |   500 |           |      |                     |    |
           312.976  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           313.348  |   350 |           |      |                     |    |
           313.868  |   690 |           |      |                     |    |
           315.567  |   290 |           |      |                     |    |
           315.700  |   150 |           |      |                     |    |
           316.431  |   540 |           |      |                     |    |
                    |       |           |      |                     |    |
           316.545  |   150 |           |      |                     |    |
           316.597  |   880 |           |      |                     |    |
           316.626  |   150 |           |      |                     |    |
           317.809  |   190 |           |      |                     |    |
           318.158  |   190 |           |      |                     |    |
                    |       |           |      |                     |    |
           318.192  |   150 |           |      |                     |    |
           318.286  |   880 |           |      |                     |    |
           319.190  |   210 |           |      |                     |    |
           321.419  |   760 |           |      |                     |    |
           322.247  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           322.881  |   200 |           |      |                     |    |
           323.169  |   630 |           |      |                     |    |
           323.658  |   110 |           |      |                     |    |
           324.105  |   760 |           |      |                     |    |
           327.113  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           327.222  |   540 |           |      |                     |    |
           327.305  |  1000 |           |      |                     |    |
           327.926  |  1300 |           |      |                     |    |
           328.471  |   880 |           |      |                     |    |
           328.588  |   140 |           |      |                     |    |
                    |       |           |      |                     |    |
           328.880  |   150 |           |      |                     |    |
           330.515  |   540 |           |      |                     |    |
           330.628  |   880 |           |      |                     |    |
           331.370  |   150 |           |      |                     |    |
           331.450  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           331.902  |   150 |           |      |                     |    |
           332.299  |   380 |           |      |                     |    |
           332.680  |   380 |           |      |                     |    |
           333.425  |   380 |           |      |                     |    |
           333.462  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           333.841  |   190 |           |      |                     |    |
           334.056  |   760 |           |      |                     |    |
           334.479  |   380 |           |      |                     |    |
           335.439  |   180 |           |      |                     |    |
           335.609  |   760 |           |      |                     |    |
                    |       |           |      |                     |    |
           335.726  |   540 |           |      |                     |    |
           335.996  |   180 |           |      |                     |    |
           336.382  |   150 |           |      |                     |    |
           336.782  |   150 |           |      |                     |    |
           337.342  |   180 |           |      |                     |    |
                    |       |           |      |                     |    |
           337.473  |   380 |           |      |                     |    |
           337.627  |   110 |           |      |                     |    |
           337.746  |   150 |           |      |                     |    |
           338.787  |   570 |           |      |                     |    |
           338.830  |   760 |           |      |                     |    |
                    |       |           |      |                     |    |
           339.198  |  5700 |           |      |                     |    |
           339.312  |   570 |           |      |                     |    |
           339.633  |   160 |           |      |                     |    |
           339.935  |   380 |           |      |                     |    |
           340.483  |   570 |           |      |                     |    |
                    |       |           |      |                     |    |
           341.025  |   760 |           |      |                     |    |
