
------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |        Upper level        |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------------------|    |
            Vac (nm)  |          |           |      |                                   | Conf.  | Term | Conf.           | Term    |    |
------------------------------------------------------------------------------------------------------------------------------------------
                      |          |           |      |                                   |        |      |                 |         |    |
           100.0718   |      180 | 2.50e+06  |      |     2.281454    -     14.670847   | 4d.5s  | 3D   | 4d.6p           | 3F*     |    |
           100.4593   |       10 | 1.46e+08  |      |     6.014050    -     18.35582    | 5s2    | 1S   | 4d.5f           | 1P*     |    |
           100.5138   |      400 | 3.62e+06  |      |     2.422139    -     14.757185   | 4d.5s  | 3D   | 4d.6p           | 3D*     |    |
           100.6039   |       70 | 2.96e+06  |      |     3.108079    -     15.432122   | 4d.5s  | 1D   | 4d.4f           | 3P*     |    |
           100.7277   |       25 | 1.07e+04  |      |     2.422139    -     14.731023   | 4d.5s  | 3D   | 4d.6p           | 3D*     |    |
                      |          |           |      |                                   |        |      |                 |         |    |
           100.7957   |       40 | 5.38e+05  |      |     2.281454    -     14.582015   | 4d.5s  | 3D   | 4d.6p           | 1D*     |    |
           101.1151   |       90 | 5.67e+07  |      |     3.108079    -     15.369797   | 4d.5s  | 1D   | 4d.4f           | 3D*     |    |
           101.2079   |      100 | 1.59e+06  |      |     2.331560    -     14.582015   | 4d.5s  | 3D   | 4d.6p           | 1D*     |    |
           101.7905   |       40 | 4.86e+07  |      |     3.108079    -     15.288439   | 4d.5s  | 1D   | 4d.4f           | 1F*     |    |
           103.0639   |      400 | 2.65e+08  |      |     2.973000    -     15.002871   | 4d2    | 1S   | 4d.6p           | 1P*     |    |
                      |          |           |      |                                   |        |      |                 |         |    |
           103.0719   |      200 | 8.49e+07  |      |     3.108079    -     15.136983   | 4d.5s  | 1D   | 4d.4f           | 1D*     |    |
           104.9790   |     1200 | 5.47e+07  |      |     3.108079    -     14.918475   | 4d.5s  | 1D   | 4d.6p           | 1F*     |    |
           106.6323   |       75 | 2.09e+06  |      |     3.108079    -     14.735404   | 4d.5s  | 1D   | 4d.6p           | 3F*     |    |
           107.5041   |     2500 | 1.45e+08  |      |     0.712090    -     12.245074   | 4d2    | 1D   | 5s.5p           | 1P*     |    |
           108.0572   |      400 | 2.62e+07  |      |     3.108079    -     14.582015   | 4d.5s  | 1D   | 4d.6p           | 1D*     |    |
                      |          |           |      |                                   |        |      |                 |         |    |
           111.2053   |       60 | 6.42e+06  |      |     1.096017    -     12.245074   | 4d2    | 3P   | 5s.5p           | 1P*     |    |
           118.7997   |       25 | 4.41e+08  |      |     7.701577    -     18.137965   | 4d.5p  | 1P*  | 5p2             | 1S      |    |
           124.6044   |       10 | 5.13e+07  |      |     7.401791    -     17.352075   | 4d.5p  | 3P*  | 5s.5d           | 3D      |    |
           127.6588   |      200 | 2.02e+08  |      |     6.014050    -     15.726294   | 5s2    | 1S   | 4d.4f           | 1P*     |    |
           128.5591   |        5 | 3.06e+06  |      |     7.701577    -     17.345751   | 4d.5p  | 1P*  | 5s.5d           | 3D      |    |
