
------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
            Vac (nm)  |          |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                      |          |           |      |                                   |        |      |        |      |    |
           103.3768   |        2 |           |      |    19.721763    -     31.71518    | 4p6.4f | 2F*  | 4p6.9g | 2G   |    |
           103.397    |       3u |           |      |    19.724262    -     31.71534    | 4p6.4f | 2F*  | 4p6.9g | 2G   |    |
           109.9761   |      20h |           |      |    19.721763    -     30.995469   | 4p6.4f | 2F*  | 4p6.8g | 2G   |    |
           110.0005   |      30h |           |      |    19.724262    -     30.995483   | 4p6.4f | 2F*  | 4p6.8g | 2G   |    |
           118.3974   |   500000 |           |      |     0.0000      -     10.471872   | 4p6.4d | 2D   | 4p6.5p | 2P*  |    |
                      |          |           |      |                                   |        |      |        |      |    |
           120.1771   |  5000000 |           |      |     0.15507     -     10.471872   | 4p6.4d | 2D   | 4p6.5p | 2P*  |    |
           121.2716   |     200h |           |      |    19.721763    -     29.945451   | 4p6.4f | 2F*  | 4p6.7g | 2G   |    |
           121.3011   |     250h |           |      |    19.724262    -     29.945471   | 4p6.4f | 2F*  | 4p6.7g | 2G   |    |
           121.9862   |  3500000 |           |      |     0.0000      -     10.163790   | 4p6.4d | 2D   | 4p6.5p | 2P*  |    |
           128.5888   |     2500 |           |      |    18.182579    -     27.824520   | 4p6.5d | 2D   | 4p6.6f | 2F*  |    |
                      |          |           |      |                                   |        |      |        |      |    |
           129.0566   |     3000 |           |      |    18.225981    -     27.832977   | 4p6.5d | 2D   | 4p6.6f | 2F*  |    |
           129.1704   |       60 |           |      |    18.225981    -     27.824520   | 4p6.5d | 2D   | 4p6.6f | 2F*  |    |
           141.7703   |    80000 |           |      |    10.163790    -     18.90920    | 4p6.5p | 2P*  | 4p6.6s | 2S   |    |
           144.0653   |    6000h |           |      |    19.721763    -     28.327891   | 4p6.4f | 2F*  | 4p6.6g | 2G   |    |
           144.1068   |    8000h |           |      |    19.724262    -     28.327918   | 4p6.4f | 2F*  | 4p6.6g | 2G   |    |
                      |          |           |      |                                   |        |      |        |      |    |
           146.9474   |   200000 |           |      |    10.471872    -     18.90920    | 4p6.5p | 2P*  | 4p6.6s | 2S   |    |
           154.6172   |  2000000 |           |      |    10.163790    -     18.182579   | 4p6.5p | 2P*  | 4p6.5d | 2D   |    |
           159.6291   |       15 |           |      |    18.182579    -     25.949601   | 4p6.5d | 2D   | 4p6.7p | 2P*  |    |
           159.8951   |  5000000 |           |      |    10.471872    -     18.225981   | 4p6.5p | 2P*  | 4p6.5d | 2D   |    |
           160.5260   |      300 |           |      |    18.225981    -     25.949601   | 4p6.5d | 2D   | 4p6.7p | 2P*  |    |
                      |          |           |      |                                   |        |      |        |      |    |
           160.7950   |    80000 |           |      |    10.471872    -     18.182579   | 4p6.5p | 2P*  | 4p6.5d | 2D   |    |
