
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           100.248  |   400 |           |      |                     |    |
           103.869  |   400 |           |      |                     |    |
           104.441  |   200 |           |      |                     |    |
           104.777  |   300 |           |      |                     |    |
           106.855  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           107.225  |   300 |           |      |                     |    |
           108.345  |   300 |           |      |                     |    |
           108.705  |   200 |           |      |                     |    |
           109.354  |   200 |           |      |                     |    |
           110.879  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           119.424  |   300 |           |      |                     |    |
           120.076  |   300 |           |      |                     |    |
           123.391  |   200 |           |      |                     |    |
           123.893  |   300 |           |      |                     |    |
           125.361  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           125.970  |   200 |           |      |                     |    |
           126.091  |   400 |           |      |                     |    |
           126.538  |   500 |           |      |                     |    |
           129.581  |   300 |           |      |                     |    |
           130.280  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           130.393  |   500 |           |      |                     |    |
           130.676  |   400 |           |      |                     |    |
           131.514  |   200 |           |      |                     |    |
           132.074  |   400 |           |      |                     |    |
           132.381  |  500p |           |      |                     |    |
                    |       |           |      |                     |    |
           133.206  |   300 |           |      |                     |    |
           133.734  |   300 |           |      |                     |    |
           135.521  |   300 |           |      |                     |    |
           135.598  |   500 |           |      |                     |    |
           136.139  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           137.654  |   500 |           |      |                     |    |
           139.679  |   200 |           |      |                     |    |
           141.003  |   300 |           |      |                     |    |
           141.340  |   200 |           |      |                     |    |
           146.005  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.690  |   300 |           |      |                     |    |
           149.133  |   300 |           |      |                     |    |
           152.047  |   200 |           |      |                     |    |
           155.012  |   200 |           |      |                     |    |
           163.303  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           165.446  |   500 |           |      |                     |    |
           172.502  |   700 |           |      |                     |    |
           178.620  |   500 |           |      |                     |    |
           179.081  |  200p |           |      |                     |    |
           180.609  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           186.048  |   500 |           |      |                     |    |
           186.086  |   600 |           |      |                     |    |
           187.833  |   500 |           |      |                     |    |
           192.624  |   400 |           |      |                     |    |
           192.743  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           193.488  |   400 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.929  |   500 |           |      |                     |    |
           202.854  |   600 |           |      |                     |    |
           213.242  |   600 |           |      |                     |    |
           215.018  |   200 |           |      |                     |    |
           233.694  |   200 |           |      |                     |    |
